l_ukrainian:
 rival:0 "Суперник"
 gave_province_in_peace:0 "Добровільно передали провінцію"
 declared_war_on_enemy:0 "Оголосили війну ворогові"
 discovery_of_evil:0 "Здійснювали таємні операції"
 insulted:0 "Образили"
 warned:0 "Попередили"
 PEACE_DEAL_NO_PROVINCES:0 "Не отримає після мирних угод провінції, на які претендує, або національні: §G$VALUE$§!"
 PEACE_DEAL_PROVINCES:0 "Отримає провінції у мирних угодах: §G$VALUE$§!"
 PEACE_DEAL_PROVINCES_RIVAL:0 "Відбере провінції суперника: §G$VALUE$§!"
 PEACE_DEAL_SUBJECTS:0 "Васали не можуть вести перемовини самостійно."
 PEACE_DEAL_AFFECTED_SHIELD:0 "Клацніть, щоб обрати іншу державу для перемовин."
 PEACE_DEAL_SEPARATE_PEACE:0 "Сепаратний мир: §R$VALUE$§!"
 in_war_together:0 "Воюємо разом"
 transfers_trade_power:0 "Передає торговельний вплив державі"
 getting_trade_power:0 "Отримує торговельний вплив від держави"
 broke_transfer_trade_power:0 "Припинили передавати торговельний вплив"
 NOALL_WE_DISLIKE:0 "Щоб зробити державі $WHO$ таку пропозицію, нам необхідно бути про них позитивної думки, яка наразі складає $VAL$."
 NOALL_THEY_DISLIKE:0 "$WHO$ нас недолюблює, тому ми не можемо їм це запропонувати. Їм необхідно бути про нас позитивної думки, яка наразі складає $VAL$."
 ENFORCEPEACE_TRUCE:0 "Ви не можете примусити до миру державу, з якою у вас перемир'я."
 CANNOT_ENFORCEPEACE_OWN_SUBJECT:0 "Ви не можете змушувати до миру ваші суб'єкти."
 ENFORCEPEACE_NOT_IN_WAR_YOUR_SUBJECT:1 "Вони не воюють з жодним з ваших суб'єктів."
 FAB_CLAIMS_AT_WAR:0 "В стані війни: $VAL$\n"
 FAB_CLAIMS_RELATIONS:0 "Погані стосунки: $VAL$\n"
 JOINED_RECENT_WAR:0 "Не можна починати нову війну протягоммісяця після початку попередньої."
 IS_IN_INDEPENDENCE_WAR:0 "Не можна починати нову війну, коли берете участь у війні за незалежність."
 NO_SHIP_CAPACITY_NO_BASE:0 "Вони не мають портів, тому не можуть надати нам право базування флоту."
 WE_NO_SHIP_CAPACITY_NO_BASE:0 "Ми не маємо портів, тому не можемо надавати право базування флоту."
 NO_INTEGREATION_PROGRESS_AT_WAR:0 "Для продовження інтеграції, обидві країни повинні перебувати в мирі."
 NO_ANNEX_PROGRESS_AT_WAR:0 "Для продовження анексії, обидві країни повинні перебувати в мирі."
 NO_ANNEX_PROGRESS_WHILE_CAPITAL_TAKEN:0 "Анексію буде призупинено, поки вони не повернуть контроль над своєю столицею."
 NO_ANNEX_PROGRESS_LIBERTY:0 "Їхнє Бажання Свободи повинно бути менше §Y$LIMIT$§!, щоб анексія продовжувалася, наразі воно складає §R$AMOUNT$§!."
 ALL_CORES_AND_CLAIMS:0 "Усі провінції, на які є претензії, та які є національними"
 RIVAL_BENEFITS:0 "§Y$WHO$§! наш суперник, під час війни з ними ми матимемо такі переваги\n"
 RIVAL_DIPLO_ALLY:0 "- Більша вірогідність створити альянси з їхніми ворогами.\n"
 RIVAL_BENEFITS_NONE:0 "Проти суперника ми маємо такі переваги.\n"
 RIVAL_BENEFITS_TRADE:0 "- Не накладається штраф на Торговельну Ефективність від введення проти них ембарго.\n"
 RIVAL_PRESTIGE:0 "$VAL$ престижу від перемоги над ними у битвах.\n"
 RIVAL_DIP_POWER:0 "$VAL$£dip£ за їхні провінції при укладанні мирних угод.\n"
 RIVAL_SPY:0 "$VAL$ створення шпигунської мережі, направленої проти них.\n"
 BENEFIT_FOR_EMPEROR:0 "Імператор отримує"
 BENEFIT_FOR_MEMBER:0 "Члени отримують"
 DIPIRO_SUPPORTING_INDEPENDENCE:0 "Підтримує незалежність держави §Y$NAME$§!."
 DIPIRO_INDEPENDENCE_SUPPORTED:0 "Незалежність підтримано державою §Y$NAME$§!."
 DIPIRO_ALLIED_WITH:0 "Має альянс з державою §Y$NAME$§!."
 SAME_FEDERATION_AS:0 "У федерації з племенем §Y$NAME$§!. (Лідер $LEADER$)"
 SAME_TRADELEAGUE_AS:0 "В одній торговельній лізі з державою §Y$NAME$§!. (Лідер – $LEADER$)"
 DIPIRO_RM_WITH:0 "Династичний шлюб з державою §Y$NAME$§!."
 DIPDRO_RM_WITH:0 "$NAME$ (§Y$DYNASTY$§W)"
 DIPIRO_GUARANTEED_BY:0 "Має гарантії від держави §Y$NAME$§!."
 DIPIRO_GUARANTEE:0 "Гарантує незалежність держави §Y$NAME$§!."
 DIPIRO_WARNED:0 "Попередження від держави §Y$NAME$§!. §Y$NAME$§! може оголосити війну державі $WHO|Y$, якщо $WHO|Y$ оголосить війну третій стороні.\nЦе попередження дійсне до §Y$DATE$§!."
 DIPIRO_WARNING:0 "$WHO|Y$ попереджає державу §Y$NAME$§!. Якщо $NAME|Y$ почне війну, $WHO|Y$ може на них напасти.\nЦе попередження дійсне до §Y$DATE$§!."
 DIPIRO_CLAIMTRHONE:0 "$WHO|Y$ має претензії на трон держави $NAME|Y$.\nЦе дозволяє державі $WHO|Y$ вимагати їхній престол під час укладання мирних угод."
 DIPIRO_WARSUBSIDIES:0 "$WHO|Y$ надає $AMOUNT|Y2$¤ щомісячних субсидій державі $NAME|Y$.\n$WHO|Y$ продовжить субсидування до $DATE|Y$."
 DIPIRO_MILACCESS:0 "$WHO|Y$ надає право проходу військам держави $NAME|Y$.\nЦе дозволяє §Y$NAME_ADJ|Y$им§! військам заходити у §Y$WHO_ADJ|Y$і§! провінції."
 DIPIRO_CONDITIONAL_ACCESS:0 "$TAKER|Y$ має тимчасовий дозвіл на прохід військ по землям держави $GIVER|Y$ завдяки таким факторам:\n"
 DIPIRO_FLEETACCESS:0 "$WHO|Y$ надає право базування флоту державі $NAME|Y$.\nЦе дозволяє §Y$NAME_ADJ|Y$им§! кораблям заходити у §Y$WHO_ADJ|Y$і§! порти для поповнення провіанту та ремонту."
 DIPIRO_CB:0 "$WHO|Y$ має Casus Belli '$CB|Y$' проти держави $NAME|Y$ ($DESC$).\n$WHO|Y$ може скористатися ним для оголошення війни державі $NAME|Y$."
 DIPIRO_CB_EXPIRE:0 "Цей Casus Belli дійсний до §Y$DATE$§!."
 DIPIRO_CB_SHORT:0 "Держава $WHO|Y$ має '$CB|Y$' casus belli проти держави $NAME|Y$ ($DESC$)."
 TRUCE_WITH_COUNTRY:0 "Між державами $SELECTED|Y$ і $COUNTRY|Y$ діє перемир'я до $DATE|Y$"
 NO_WAR_ON_EMPIRE:0 "Ви не можете оголошувати війну члену Імперії, якщо ви воюєте на стороні Імператора."
 NO_WAR_ON_EMPIRE_FIRST_MONTHS:0 "Ви не можете оголошувати війну члену Імперії, якщо ви маєте альянс з Імператором і він щойно вв'язався у війну."
 ALREADY_WAR_EMPIRE:0 "Ви не можете оголошувати війну члену Імперії, якщо вже воюєте з Імператором."
 PEACE_IN_EMPIRE_NO_WAR:0 "Після того, як було проголошено Земський мир, ні один член Священної Римської Імперії не може атакувати інших членів."
 DIP_MAINT_RM:0 "Династичний шлюб: (§Y$COUNTRY$§W): §Y-$VAL$§W."
 DIP_MAINT_VASSAL:0 "Має васала: (§Y$COUNTRY$§W): §Y-$VAL$§W."
 alert_agreement_fail_instant:0 "§YДомовленість буде скасовано через недостачу балів!§W"
 alert_agreement_fail_delayed:0 "Нашу домовленість з держ. $LIST$ буде скасовано через недостачу Дипломатичних балів."
 UPKEEP_EXPLANATION:0 "$CURR$/$ALLOW$ дипло-стосунки: $COST$\n$LIST$"
 UPKEEP_MOD_DESC:0 "Ми можемо підтримувати дипломатичні стосунки з $NUM|Y$ державами, відповідно до:"
 DIP_MAINT:0 "$RELATION$: (§Y$COUNTRY$§W): §Y-$VAL$§W."
 RIVAL_IMPACT_ON_SPY:0 "Суперники: $VAL$\n"
 MILACCESS_TYPE:0 "Право проходу"
 ANNEX_TARGET_CORE:0 "Ми претендуємо на їхню столицю: "
 ANNEX_INPROGRESS3:0 "Прогрес анексії складає §Y$PROGRESS|1$%§! ($VAL|G$/$COST|Y$), очікувана дата завершення – §Y1§! $DATE|Y$.\nЩомісяця на це витрачається §R$DRAIN$§!£dip£.\n"
 INTEGRATE_INPROGRESS3:0 "Прогрес інтеграції складає §Y$PROGRESS|1$%§! ($VAL|G$/$COST|Y$), очікувана дата завершення – §Y1§! $DATE|Y$.\nЩомісяця на це витрачається §R$DRAIN$§!£dip£.\n"
 NO_ANNEX_PROGRESS_LACK_DIP:0 "Необхідно щонайменше $COST$£dip£ для продовження процесу."
 ANNEX_SAME_RELIGION:0 "Однакова релігія"
 ANNEX_SAME_CULTURE:0 "Однакова культурна група"
 ANNEX_TARGET_LOW_STAB:0 "Вибрана держава має низьку стабільність: "
 ANNEX_LONG_TIME_VASSAL:0 "Давній васал: "
 ANNEX_WAREXHAUSTION:0 "Втома від війни: "
 ANNEX_OVERSEAS:0 "Заморська: "
 ANNEX_LARGER:0 "Їхня країна більша за нашу: "
 INTEGRATE_MULTI_UNIONS:0 "Багато претендентів на цю країну: "
 ANNEXTITLE:0 "Анексія васала"
 CANCEL_ANNEXTITLE:0 "Скасувати анексію"
 ANNEXNEWDESC:0 "Бажаєте почати процес поглинання держави $COUNTRY$ нашою країною? \nОдного з ваших дипломатів буде прикуто до цього процесу, поки поглинання не завершиться, або його не буде відмінено."
 CANCEL_ANNEXNEWDESC:0 "Бажаєте припинити спробу анексії та відкликати дипломата?"
 ANNEXDESC:0 "Почати процес анексії васала."
 ANNEXINVALID:0 "Ви можете анексувати тільки націю, яка була вашим васалом щонайменше §Y$YEARS$§! років."
 ANNEXINTEGRATETITLE:0 "Анексія / Інтеграція"
 ANNEXTOTALAMOUNT:0 "Очікувана вартість анексії складає §Y$COST$§!£dip£. Вартість рахується на основі рівня розвитку провінцій вашого васала (за винятком тих, які є вашими національними). У процесі анексії її вартість може змінюватися."
 OUT_IS_ANNEXING:0 "Анексія держави §Y$COUNTRY$§!"
 OUT_BEING_ANNEXED:0 "Анексується державою §Y$COUNTRY$§!"
 OUT_ANNEX_TOOLTIP:0 "$VAL|2+$/міс"
 ANNEX_TOO_LOW:0 "Ви можете почати анексію, якщо думка вашого васала про вас складає щонайменше §Y+190§! ."
 MAX_ALLIANCE_REACHED:0 "Ми можемо мати тільки §Y$VAL$§W альянсів. Наразі ми маємо §Y$VAL$§W"
 SENDGIFTTITLE:0 "Надіслати подарунок"
 SENDGIFTDESC:0 "Допомогти їм грошима."
 CANCEL_ANNEXDESC:0 "Припинити процес анексії."
 INTEGRATEDESC:0 "Почати процес інтеграції молодшого партнера в унії."
 CANCEL_INTEGRATEDESC:0 "Припинити процес інтеграції та повернути дипломата."
 CANCEL_INTEGRATENEWDESC:0 "Бажаєте припинити процес інтеграції та відкликати дипломата?"
 CANCEL_INTEGRATETITLE:0 "Скасувати інтеграцію"
 OUT_IS_INTEGRATING:0 "Інтеграція держави §Y$COUNTRY$§!"
 OUT_BEING_INTEGRATING:0 "Інтегрується державою §Y$COUNTRY$§!"
 CLOSE_RIVALS_SELECTION:0 "Закрити вибір суперників."
 REMOVE_RIVAL:0 "Видалити"
 REMOVE_RIVAL_DESC:0 "Видалити цього суперника."
 CLICK_RIVAL_SELECTION:0 "Клацніть, щоб призначити вашим суперником."
 CANT_SET_RIVAL_ALREADY:0 "Ця країна вже є вашим суперником."
 CANT_SET_RIVAL_OVERLORD:0 "Ви не можете призначити вашого сюзерена суперником."
 CANT_SET_RIVAL_SUBJECT:0 "Ви не можете призначити підлеглу вам державу суперником."
 CLICK_RIVAL_SELECTION_REPLACE:0 "Клацніть, щоб змінити державу §Y$COUNTRY$§W на іншого суперника. Це коштуватиме §Y$VAL$§W£dip£."
 NO_RIVAL_SELECTED:0 "Суперника не призначено."
 CHOOSE_FROM_LIST:0 "§YВиберіть зі списку, або клацніть на мапі, щоби призначити нового суперника.\nTЦе коштуватиме вам §R$VAL$§!£dip£.§!"
 CLICK_TO_REMOVE_RIVAL:0 "\n§YАбо клацніть по кнопці видалити, щоб\nвилучити державу $RIVAL$ зі списку суперників§!"
 SELECT_RIVAL_COST_DESC:0 "\nПризначення нового суперника коштуватиме вам §Y$VAL$§W£dip£."
 CLICK_TO_SELECT_RIVAL:0 "\nКлацніть сюди, потім на країні зі списку, щоби призначити її вашим суперником."
 CLICK_NO_RIVAL_SELECTED:0 "Суперника не призначено"
 CLICK_CHANGE_RIVAL:0 "\nКлацніть, щоб змінити суперника."
 CLICK_SET_RIVAL:0 "\nКлацніть, щоби призначити суперника."
 RIVAL_REMOVE_NOT_ENOUGH_POWER:0 "Нам не вистачає §Y$VAL$§W£dip£, необхідних для вилучення суперника."
 ENFORCEPEACETITLE:0 "Примусити до миру"
 ENFORCEPEACEDESC:0 "Примусити до Білого Миру вибрану країну, з одним із її ворогів. Якщо вибрана країна відмовиться прийняти цей мир, ви приєднаєтеся до війни на боці її ворогів."
 ENFORCPEACEDESC_OVERLORD:0 "§RЇхній сюзерен приєднається до цієї війни, якщо вони не погодяться!§!"
 ENFORCEPEACE_CHOOSE_TARGET:0 "Виберіть країну, на боці якої ви хочете бути:"
 enforced_peace_against:0 "Примусили до миру з"
 enforced_peace_for:0 "Примусовий мир"
 improved_imperial_relations:0 "Покращити імперські стосунки"
 IMPROVERELATIONTITLE:0 "Покращити стосунки"
 IMPROVERELATIONDESC:0 "Покращити ваші стосунки з вибраною державою."
 CANCEL_IMPROVERELATIONTITLE:0 "Припинити покращення стосунків"
 CANCEL_IMPROVERELATIONDESC:0 "Відкликати нашого дипломата та припинити покращення стосунків."
 FABRICATECLAIMSTATEDESC_NOPROV:1 "Держава не межує з незатребуваним краєм, який має більше одної провінції, на яку можна претендувати."
 FABRICATECLAIMTITLE:1 "Сфабрикувати претензію"
 FABRICATECLAIMSTATEDESC:0 "Сфабрикувати претензію на сусідній край."
 FABRICATECLAIMDESC:1 "Сфабрикувати претензію на сусідню провінцію."
 FABRICATECLAIMDESC_NOPROV:1 "Немає доступної сусідньої провінції, на яку можна сфабрикувати претензію."
 JUSTIFY_TRADE_CONFLICTTITLE:0 "Обґрунтувати торговельний конфлікт"
 JUSTIFY_TRADE_CONFLICTDESC:0 "Обґрунтувати торговельний конфлікт з тими, хто загрожує вашим торговим інтересам."
 JUSTIFY_TRADE_CONFLICT_NO_POWER:1 "Держава $WHO$ повинна мати Торговий Вплив у торговому вузлі, де ви маєте щонайменше $OURVAL|0%$ Торгового Впливу."
 JUSTIFY_TRADE_CONFLICT_LOW_POWER:1 "Держава $WHO$ повинна мати щонайменше $VAL|0%$ від загального Торгового Впливу в торговому вузлі, де ви маєте не менше $OURVAL|0%$ від загального Торгового Впливу. Вони мають $MAX|0%$ у вузлі $NODE$, де ви маєте $MAXOURS|0%$."
 TRANSFER_TRADE_POWERTITLE:0 "Передавати Торговий Вплив"
 TRANSFER_TRADE_POWERDESC:0 "Поцікавитися у держави $WHO$, чи вони погодяться передавати вам частину свого Торгового Впливу."
 TRANSFER_TRADE_POWER_SELECT_DESC:0 " Бажаєте запитати державу $WHO$, чи вони погодяться передавати вам частину свого Торгового Впливу?"
 CANCEL_TRANSFER_TRADE_POWER_SELECT_DESC:0 "Бажаєте скасувати передачу Торгового Впливу державі $WHO$?"
 CANCEL_TRANSFER_TRADE_POWER_SELECT_DESC_GIVE_CB:0 "Ми втратимо $PRESTIGEHIT|R$ престижу та повагу держави $WHOS$ на довгі роки. Через те, що цей обов'язок було нав'язано через мирні угоди, держава $WHO$ отримає проти нас Casus Belli 'Торговельний конфлікт'."
 CANCEL_TRANSFER_TRADE_POWERTITLE:0 "Скасувати передачу Торгового Впливу"
 CANCEL_TRANSFER_TRADE_POWERDESC:0 "Припинити передачу Торгового Впливу."
 INFILTRATETITLE:0 "Проникнути в адміністрацію"
 CANCEL_INFILTRATETITLE:0 "Скасувати інфільтрацію в адміністрацію"
 SABOTAGETITLE:0 "Зіпсувати репутацію"
 SABOTAGEDESC:0 "Зіпсувати репутацію цільової держави."
 SABOTAGEDESCDERIVED:0 "Псування репутації знизить розмір нашої §Y$ADJ|Y$ої§! шпигунської мережі на $COST|R$ та спричинить на них такі ефекти:\n$DESC$\n\nЦе триватиме до $DATE|Y$."
 SABOTAGEALREADYPRESENTDESC:0 "Їхня репутація вже була зіпсована недавно."
 INFILTRATEDESC:0 "Проникнення в адміністрацію розсіює туман війни над цією державою до $DATE|Y$."
 IS_INFILTRATEDESC:0 "Наші шпигуни проникли в їхню адміністрацію і зможуть постачати нам інформацію до $DATE|Y$."
 CONFIRM_CANCEL_INFILTRATE:0 "Бажаєте відкликати наших шпигунів з їхніх високих місць? Ми більше не зможемо отримувати інформацію про державу §Y$COUNTRY$§!."
 SABOTAGE_RECRUITMENT:0 "Зірвати вербування"
 sabotage_recruitment:0 "Зірвати вербування"
 SABOTAGERECRUITMENTTITLE:0 "Зірвати вербування"
 SABOTAGERECRUITMENTDESC:0 "Зірвати вербування до війська у вибраній державі."
 SABOTAGERECRUITMENTDESCDERIVED:0 "Зрив вербування зменшить розмір нашої §Y$ADJ|Y$ої§! шпигунської мережі на $COST|R$ та матиме такі наслідки:\n$DESC$\n\nЦе триватиме до $DATE|Y$."
 SABOTAGERECRUITMENTALREADYPRESENT:0 "Їхнє вербування вже саботується."
 CORRUPT_OFFICIALS:0 "Підкупити чиновників"
 corrupt_officials:0 "Підкупити чиновників"
 CORRUPTOFFICIALSALREADYPRESENTDESC:0 "Хтось вже утримує підкуплених чиновників держави $TARGET$."
 CORRUPTOFFICIALSTITLE:0 "Підкупити чиновників"
 CORRUPTOFFICIALSDESC:0 "Підкупити чиновників у вибраній державі."
 CORRUPTOFFICIALSDESCDERIVED:0 "Підкуплені чиновники зменшать розмір нашої §Y$ADJ|Y$ої§! шпигунської мережі на $COST|R$, що призведе до таких наслідків:\n$DESC$\n\nЦе триватиме до $DATE|Y$."
 SLANDER_MERCHANTS:0 "Обмовити купців"
 slander_merchants:0 "Обмовити купців"
 SLANDERMERCHANTSTITLE:0 "Обмовити купців"
 SLANDERMERCHANTSDESC:0 "Обмовити купців у вибраній державі."
 SLANDERMERCHANTSDESCDERIVED:0 "Обмовляння купців зменшить розмір нашої §Y$ADJ|Y$ої§! шпигунської мережі на $COST|R$, що призведе до таких наслідків:\n$DESC$\n\nЦе триватиме до $DATE|Y$."
 SLANDERMERCHANTSALREADYPRESENTDESC:0 "Їхніх купців вже обмовляють."
 SUPPORTREBELSTITLE:0 "Підтримати повстанців"
 SUPPORTREBELSDESC:0 "\nПідтримати повстанців у країні."
 SUPPORTREBELSDESCDERIVED:0 "Підтримка повстанців зменшить розмір нашої §Y$ADJ|Y$ої§! шпигунської мережі на $COST|R$ та збільшить шанс прогресу їхнього повстання на §Y$AMT$%§! щомісяця протягом $YEARS|Y$ років.\n\nВи також підтримуватиме їх під час їхнього повстання. Якщо повстанці досягнуть успіху, вони стануть вашими союзниками."
 SUPPORTREBELSDESCALREADYPRESENTDESC:0 "Хтось вже підтримує цих повстанців у вибраній державі."
 SUPPORTREBELSDESCNOREBELSDESC:0 "Немає повстанців, яких можна підтримати."
 SUPPORT_REBELS_OVERLORD:0 "Неможливо підтримувати повстанців у державах, які є вашими підлеглими."
 SUPPORTREBELSDESC_NEEDTECH:0 "Мінімальний необхідний рівень адміністративних технологій – $VAL|Y$."
 CANCEL_SUPPORTREBELSTITLE:0 "Припинити підтримку повстанців"
 CANCEL_SUPPORTREBELSDESC:0 "\nПовстанці, яких ми підтримуємо в державі §Y$COUNTRY$§! досягли $AMOUNT$ прогресу повстання. Наша підтримка триватиме до §Y$DATE$§!."
 CANCEL_SUPPORTREBELS_WARNING:0 "Бажаєте припинити підтримку їхніх повстанців $REBELTYPE$? Інвестиції вже неможливо буде повернути."
 SUPPORTREBELS_REBELREVOLTED:0 "Повстання"
 AGITATEFORLIBERTYTITLE:0 "Підбурення до свободи"
 AGITATEFORLIBERTYDESC:1 "Переконати вибрану державу, що вони повинні здобути незалежність від їхніх гнобителів!"
 AGITATEFORLIBERTYDESCDERIVED:0 "Підбурення до свободи збільшить прагнення до свободи у цільової держави на $LD|Y$.\n\nЦе триватиме до $DATE|Y$."
 SOW_DISCONTENT_NOIDEA:0 "Ми не маємо для цього відповідних ідей."
 CANCEL_AGITATEFORLIBERTYTITLE:0 "Скасувати підбурення до свободи"
 CANCEL_AGITATEFORLIBERTYDESC:0 "Припинити підбурювати до свободи вибрану державу."
 SOWDISCONTENTTITLE:0 "Сіяти невдоволення"
 SOWDISCONTENTDESC:0 "Посіяти невдоволення серед населення цільової держави."
 SOWDISCONTENTDESCDERIVED:0 "Посіяти невдоволення зменшить розмір нашої §Y$ADJ|Y$ої§! шпигунської мережі на $COST|R$, це матиме такі наслідки:\n$DESC$\n\nЦе триватиме до $DATE|Y$"
 SOWDISCONTENTALREADYPRESENTDESC:0 "Хтось вже сіє невдоволення серед населення цільової держави."
 UNTIL_DATE_EFFECTS:0 "\nЦе спричинить такі ефекти до §Y$DATE$§!:\n $DESC$."
 AGITATE_EFFECTS:0 "§YБажання свободи§!: §G+$VAL$%§!"
 AGITATEFORLIBERTYALREADYPRESENTDESC:0 "Хтось вже підбурює до свободи населення цільової держави."
 CANCEL_SOWDISCONTENTTITLE:0 "Скасувати сіяння невдоволення"
 IS_SOWDISCONTENT:0 "Сіє невдоволення."
 BUILDSPYNETWORK_NO_SUBJECTS:0 "Не можна будувати шпигунську мережу у цьому суб'єкті. Замість цього шпигуйте за їхнім сюзереном ($OVERLORD|Y$)."
 IS_NOT_SOWDISCONTENT:0 "НЕ сіє невдоволення."
 IS_STUDYTECHNOLOGY:0 "Займається технологічним шпіонажем."
 IS_NOT_STUDYTECHNOLOGY:0 "НЕ займається технологічним шпіонажем."
 IS_AGITATEFORLIBERTY:0 "Підбурює до свободи."
 IS_NOT_AGITATEFORLIBERTY:0 "НЕ підбурює до свободи."
 HAVE_COALITION_WITH:0 "Ви в коаліції проти держави "
 JOIN_COALITIONTITLE:0 "Приєднатися до коаліції"
 JOIN_COALITIONDESC:0 "Приєднатися до коаліції проти них"
 JOIN_COALITIONDESC2:0 "Приєднатися до коаліції проти держави $WITH$"
 FORMCOALITIONTITLE:0 "Створити коаліцію"
 FORMJOINCOALITIONTITLE:0 "Створити/Приєднатися до коаліції проти"
 FORMCOALITIONDESC:0 "Створити коаліцію проти них"
 FORMCOALITIONDESC2:0 "Створити коаліцію проти держави $WITH$"
 FORM_COALITION_AGAINST:0 "Бажаєте створити коаліцію проти держави §Y$WHO$§!? Якщо хтось із членів коаліції почне військові дії з державою §Y$WHO$§!, решта членів теж отримає заклик до зброї."
 JOIN_COALITION_AGAINST:0 "Бажаєте приєднатися до коаліції проти держави §Y$WHO$§!? Якщо хтось із членів коаліції почне військові дії з державою §Y$WHO$§!, решта членів теж отримає заклик до зброї."
 COALITION_WHY_ALREADY:0 "Ми вже у складі коаліції проти держави §Y$WHO$§!."
 COALITION_WHY_NOT_LEADER:0 "Ми не є лідером коаліції проти держави §Y$WHO$§!, тільки §Y$LEADER$§! може запрошувати нових членів."
 COALITION_WHY_EXISTS:0 "Вже існує коаліція проти держави §Y$WHO$§!, тільки §Y$LEADER$§! може запрошувати нових членів."
 FORMCOALITION_NORIVALS:0 "Ми не маємо суперників, проти яких можна створити коаліцію."
 FORMCOALITION_INPROGRESS:0 "Ми вже у складі коаліції!"
 FORMCOALITION_HASWAR:0 "Ми з ними воюємо"
 FORMCOALITION_OTHERALLIANCE:0 "Ви маєте з ними альянс."
 FORMCOALITION_TARGETINOTHER:0 "Ви вже у складі іншої коаліції."
 FORMCOALITION_WETARGET:0 "Вони у коаліції проти нас!"
 FORMCOALITION_CHOOSE_TARGET:0 "Виберіть одного з ваших суперників ціллю для коаліції"
 FORMCOALITION_CHOOSE_TARGET_NOTCONTINENT:0 "Ви не можете вибрати державу $TARGET$ ціллю для коаліції, оскільки ваші столиці знаходяться на різних континентах!"
 FORMCOALITION_CHOOSE_TARGET_NOTRELATION:0 "Ви не можете вибрати державу $TARGET$ ціллю для коаліції, адже стосунки між вами повинні бути гірше -100!"
 FORMCOALITION_CHOOSE_TARGET_NOTNUMRELATION:0 "Вам необхідно щонайменше $RELATION$ стосунків з державою $TARGET$, щоби додати нового члена!"
 FORMCOALITION_ANOTHER_COALITION:0 "Вони вже у складі іншої коаліції."
 FORMCOALITION_NOTSUBJECTS:0 "Тільки незалежні держави можуть приєднуватися до коаліцій."
 ICON_FORM_COALITION:0 "Пропозиція створити коаліцію"
 FABRICATECLAIMDESC_AT_WAR:0 "Ви не можете почати фабрикування претензій проти держави, з якою ви воюєте."
 JUSTIFY_TRADE_CONFLICT_DESC_AT_WAR:0 "Ви не можете почати обґрунтування торгового конфлікту з державою, з якою ви воюєте."
 TRANSFER_TRADE_POWER_DESC_AT_WAR:0 "Ви не можете просити про передачу торговельного впливу державу, з якою ви воюєте."
 FORMCOALITIONREQ:0 "Створити коаліцію проти держави $TARGET$."
 COALITIONTARGET:0 "Ціль коаліції держав: $LIST$."
 COALITIONAGAINST:0 "В коаліції проти: $LIST$."
 COALITIONWITH:0 "В коаліції з: $LIST$."
