l_ukrainian:
 guru_angad:0 "Гуру Ангад"
 sikhism_flavor.6.d:0 "\"Як я давлю цибулю, яку ви мені принесли, так і син ваш трощитиме голови своїх ворогів.\"\n\nТак говорив провидець Баба Будда про спадкоємця Арджана Гуру - Хару Гобінде. Світ змінився, і сикхи більше не можуть покладатися на милосердя своїх потенційних супротивників, і зі зброєю в руках виступлять проти тих, хто прагне завдати шкоди Гуру та його послідовникам."
 sikhism_flavor.6.a:0 "Мечі замінять нашому Гуру корону."
 sikhism_flavor.7.t:0 "Гуру Хар Рай"
 sikhism_flavor.7.d:0 "Онук Гуру Хари Гобінда, Хар Рай, проходив підготовку у свого діда, як спадкоємець його справи, і от його час прийшов. Хоча готували його як військового та стратега, Хар Раю ближчі ідеї любові до всього живого, що змушує його шукати дипломатичні рішення проблем."
 sikhism_flavor.7.a:0 "Досить битв, настав час заліковувати рани."
 sikhism_flavor.8.t:0 "Гуру Хар Кришан"
 sikhism_flavor.8.d:0 "Тіло Гуру Хар Рая було поховане, хоча він лишив по собі дуже молодого спадкоємця. Хар Кришан був визнаний кращим кандидатом ніж його страший брат, який ставив дипломатичний прагматизм вище за слідування вірі. Хоча нашому новому Гуру не бракне благочестя та доброти, його юний вік, усього 4 роки, обмежує наші дипломатичні можливості."
 sikhism_flavor.8.a:0 "Наш Гуру лишається нашим благословінням."
 sikhism_flavor.9.t:0 "Гуру Теґх Бахадур"
 sikhism_flavor.9.d:0 "Юний Гуру Хар Кришан трагічно загинув. Після деяких сумнівів його спадкоємцем був вибраний Теґх Бахадур. Хоча споконвічно він був затворником і піднявся волею випадку, проте Теґх Бахадур довів, що може бути рішучим лідером. Незважаючи на зневагу до ритуалів і церемоній, Гуру поставив собі завдання захистити не тільки послідовників своєї віри, але й усіх індуїстів, що втікають до наших земель від переслідувань."
 sikhism_flavor.9.a:0 "Наш Гуру є істинним захисником пригноблених."
 sikhism_flavor.10.t:0 "Гуру Гобінд Синґх"
 sikhism_flavor.10.d:0 "Зі смертю Теґх Бахадура сикхи знову зіштовхнулися з ворожістю своїх політичних і релігійних супротивників. Його син Гобінд Раї вирішив об'єднати сикхів та зібрати тих, хто готовий віддати життя за свого Гуру. Найближчі десятиліття призведуть до утворення руху Хальса - тих, хто були ініційовані у нашу віру церемоніями, що проводилися самім Гуру. Гобінд Раї стане відомим в історії як Гуру Гобінд Синґх."
 sikhism_flavor.10.a:0 "Хальса належить богу, перемога належить богу!"
 sikhism_flavor.11.t:0 "Гуру Грантх Сахіб"
 sikhism_flavor.11.d:0 "Гуру Гобінд Сінґх загинув, але він передав свій титул тому, хто житиме вічно. Збірник священних текстів, відомий як Аді Грантх, створений Гуру Арджаном та доповнене тими, хто прийшов після нього, було призначено Гобінд Сінґхом останнім і остаточним наступником який буде вести Сикхів: Гуру Грант Сахіб. Відтепер, відповідь на будь-яке питання, яке задають Гуру, можна знайти в знаннях, що містяться у книзі."
 sikhism_flavor.11.a:0 "Той, хто прагне зустріти Бога, знайде його в цих псалмах."
 sikhism_flavor.11.b:0 "Гуру є Виконавцем бажань розуму."
 sikhism_flavor.12.t:0 "Більше ніяких Гуру"
 sikhism_flavor.12.d:0 "[Root.GetName] тепер сповідує [Root.Religion.GetName]. Ми більше не можемо називати себе сикхами, і відповідно розриваємо всі зв'язки з їхнім Гуру."
 sikhism_flavor.12.a:0 "[Root.Religion.GetName] відтепер наш поводир."
 sikhism_flavor.13.t:1 "Гуру у державі [Root.GetName]"
 sikhism_flavor.13.d:0 "Людина, що називає себе Гуру, з'явилася в державі [Root.GetName]. Він запевняє, що отримав одкровення і був покликаний небесами у подорож до країв землі, щоб розповсюдити звістку про єдиного істинного бога.\n\nЙого місцеві послідовники стверджують, що цей бог розкривається через усі релігії, включаючи [Root.Owner.Religion.GetName] і представляють Нанака, як чергове одкровення нашої власної віри. Однак безсумнівно те, що ці навчання відкидають наші власні ритуали й традиції, відвертаючи людей від істинного шляху віри [Root.Owner.Religion.GetName]."
 sikhism_flavor.13.dnanaknolonger:0 "Людина, що називає себе Гуру, з'явилася в провінції [Root.GetName]. Він стверджує, що отримав одкровення і був покликаний небесами в подорож до країв землі, щоб рознести звістку про єдино істинного Бога.\n\nЙого місцеві послідовники стверджують, що цей Бог розкривається через усі релігії, включаючи віру [Root.Owner.Religion.GetName], і представляють його як чергове одкровення нашої власної віри. Але немає сумніву те, що ці навчання відкидають наші власні ритуали і традиції, відвертаючи людей від істинного шляху віри [Root.Owner.Religion.GetName]."
 sikhism_flavor.13.a:0 "Поки вони платять податки, вони можуть вірити у що завгодно."
 sikhism_flavor.13.b:1 "Вигнати цю людину з провінції [Root.GetName]!"
