l_ukrainian:
 MIGRATION_COST:0 "Вартість міграції"
 LIBERTY_DESIRE_FROM_RELATIVE_POWER_ALL_SEA:0 "Співвідношення морської могутності держави $COUNTED$ та держави §Y$OVERLORD$§! (§Y$AMT$%§!): $VAL$"
 LIBERTY_DESIRE_FROM_RELATIVE_POWER_ECONOMY:0 "Співвідношення економічної потужності суб'єкта та держави §Y$OVERLORD$§! (§Y$AMT$%§!): $VAL$"
 LIBERTY_DESIRE_FROM_RELATIVE_POWER_ALL_ECONOMY:0 "Співвідношення економічної потужності держави $COUNTED$ та держави §Y$OVERLORD$§! (§Y$AMT$%§!): $VAL$"
 SIBERIAN_CONSTRUCTION:0 "будівництво сибірського фронтиру"
 COLONIST_CONSTRUCTION:0 "колонізація"
 SPECIFIC_BUILDING_CONSTRUCTION:1 "будівництво будівлі $BUILDING$"
 CANAL_TYPE_NAME:0 "канал"
 MONUMENT_TYPE_NAME:0 "пам'ятка"
 GREAT_PROJECT_UPGRADE_CONSTRUCTION_DESC:0 "Покращення $TYPE$ $NAME|Y$ буде завершено $DATE$"
 UPGRADE_GREAT_PROJECT:0 "Почнеться покращення $TYPE$ $NAME|Y$."
 hagia_sophia:0 "Ая-Софія"
 stonehenge:0 "Стоунхендж"
 tower_of_london:0 "Лондонський Тауер"
 buddha_statues:0 "Статуї Будди"
 parthenon:0 "Парфенон"
 GREAT_PROJECT_REPAIR_CONSTRUCTION_DESC:0 "Ремонт $TYPE$ $NAME|Y$ буде завершено $DATE$"
 BUILD_GREAT_PROJECT_IN_SUBJECT:0 "Розпочато будівництво $GREATPROJECTTYPE$"
 BUILD_GREAT_PROJECT_IN_SUBJECT_EFFECT:0 "Вони будуватимуть $GREATPROJECT|Y$ в провінції $PROVINCE$."
 BUILD_GREAT_PROJECT_IN_SUBJECT_WHAT:0 "побудувати $GREATPROJECTTYPE$ в нашій країні"
 UPGRADE_GREAT_PROJECT_IN_SUBJECT:0 "Розпочато покращення $GREATPROJECTTYPE$"
 UPGRADE_GREAT_PROJECT_IN_SUBJECT_EFFECT:0 "Вони покращать $GREATPROJECT|Y$ в провінції $PROVINCE$."
 UPGRADE_GREAT_PROJECT_IN_SUBJECT_WHAT:0 "покращити $GREATPROJECTTYPE$ в нашій країні"
 WARSCORE_COST_GREAT_PROJECTS:0 "З великих проектів: $VALUE$\n"
 ADD_CANAL:0 "Додає канал $NAME|Y$."
 REMOVE_CANAL:0 "Видаляє канал $NAME|Y$."
 CONFIRMGREATPROJECTTITLE:0 "Підтвердити $GREATPROJECT|Y$."
 CONFIRMGREATPROJECTTEXTLEDGER:0 "Ви впевнені, що хочете побудувати $GREATPROJECT|Y$ в провінції $PROVINCE$?"
 CANCEL_GREAT_PROJECT:0 "Скасувати будівництво $TYPE$."
 CANCEL_GREAT_PROJECT_IN_SUBJECT:0 "Будівництво $TYPE$ було скасовано"
 CANCEL_GREAT_PROJECT_IN_SUBJECT_WHAT:0 "припинити будівництво $TYPE$ в нашій країні"
 CANCEL_GREAT_PROJECT_IN_SUBJECT_EFFECT:0 "Будівництво споруди $BUILDING|Y$ в провінції $PROVINCE$ було зупинено."
 CANCEL_GREAT_PROJECT_PROGRESS:0 "Ви впевнені, що хочете скасувати будівництво будівлі $BUILDING$ в провінції $PROVINCE$? $PERCENTAGE_RETURNED|%1Y$ інвестицій буде повернуто."
 CONFIRMGREATPROJECTUPGRADETITLE:0 "Підтвердьте покращення."
 CONFIRMGREATPROJECTUPGRADETEXTLEDGER:0 "Ви впевнені, що хочете покращити $GREATPROJECT|Y$ в провінції $PROVINCE$?"
 CONFIRMGREATPROJECTUPGRADEDESC:0 "Це коштуватиме $COST|Y$¤ і матиме такі ефекти:\n$BENEFITS$"
 CANCEL_GREAT_PROJECT_UPGRADE:0 "Скасувати покращення."
 CANCEL_GREAT_PROJECT_UPGRADE_IN_SUBJECT:0 "Покращення $TYPE$ було скасовано"
 CANCEL_GREAT_PROJECT_UPGRADE_IN_SUBJECT_WHAT:0 "припинити покращення $TYPE$ в нашій країні"
 CANCEL_GREAT_PROJECT_UPGRADE_IN_SUBJECT_EFFECT:0 "Роботу над покращенням будівлі $BUILDING|Y$ в провінції $PROVINCE$ припинено."
 CANCEL_GREAT_PROJECT_UPGRADE_PROGRESS:0 "Ви впевнені що хочете скасувати покращення будівлі $BUILDING$ в провінції $PROVINCE$? $PERCENTAGE_RETURNED|%1Y$ інвестицій буде повернуто."
 SPEND_MANPOWER_TO_BOOST_PROGRESS:0 "Використати §Y$NUMBER$§W рекрутів для прискорення прогресу проєкту вперед на $DAYS|Y$ днів"
 SPEND_MONEY_TO_BOOST_PROGRESS:0 "Використати §Y$COST$§W¤ для прискорення прогресу проєкту вперед на $DAYS|Y$ днів"
 CANNOT_SPEND_MANPOWER_TO_BOOST_PROGRESS_NOT_ENOUGH_MANPOWER:0 "Вам не вистачає рекрутів, щоб прискорити прогрес проєкту."
 CANNOT_SPEND_MONEY_TO_BOOST_PROGRESS_NOT_ENOUGH_CASH:0 "Вам не вистачає грошей, щоб прискорити прогрес проєкту."
 CANNOT_UPGRADE_GREAT_PROJECT_ALREADY_AT_MAX:0 "$TYPE$ неможливо покращити, він вже настільки хороший, наскільки це можливо."
 CANNOT_BOOST_PROGRESS_NO_CONSTRUCTION:0 "Нема будівництва, прогрес якого можна було б прискорити."
 CONFIRMGREATPROJECT_BOOST_TITLE:0 "Підтвердити прискорення будівництва."
 CONFIRMGREATPROJECT_BOOST_MANPOWER_TEXT:0 "Ви впевнені, що хочете витратити $MANPOWER$ рекрутів для прискорення прогресу проєкту вперед на $DAYS$ днів?"
 CONFIRMGREATPROJECT_BOOST_MONEY_TEXT:0 "Ви впевнені, що хочете витратити $COST|Y$¤ для прискорення прогресу проєкту вперед на $DAYS$ днів?"
 BUILD_GREAT_PROJECT:0 "Починається будівництво $TYPE$ $NAME|Y$."
 TIER_0_DESCRIPTION:0 "Незначний"
 TIER_1_DESCRIPTION:0 "Примітний"
 TIER_2_DESCRIPTION:0 "Значний"
 TIER_3_DESCRIPTION:0 "Чудовий"
 MATCHING_TIER_DESCRIPTION:0 "Ваш $TYPE$ на даний момент має рівень $TIERDESCRIPTION$. Це дає такі ефекти:"
 BETTER_TIER_DESCRIPTION:0 "Якщо ви покращите ваш $TYPE$ до рівня $TIERDESCRIPTION$, ви отримаєте такі ефекти:"
 WORSE_TIER_DESCRIPTION:1 "$TIERDESCRIPTION$: Ваш $TYPE$ вже перевершив цей рівень."
 DOESNT_EXIST_TIER_DESCRIPTION:0 "На рівні $TIERDESCRIPTION$ $TYPE$ даватиме такі ефекти:"
 ON_UPGRADED_EVENT_DESC:0 "§YПісля покращення§!:\n$EFFECT$\n"
 EXPENSEGREATPROJECTS:0 "Великі проекти"
 EXPENSEGREATPROJECTMAINTENANCE:0 "Утримання великих проектів"
 CANNOT_BOOST_PROGRESS_FINISHED:0 "Будівництво вже завершено."
 GREAT_PROJECT_DESCRIPTION:0 "$TYPE$: $NAME|Y$"
 CONFIRMGREATPROJECT_MOVE_TITLE:0 "Підтвердіть переміщення."
 CONFIRMGREATPROJECT_MOVE_TEXT:0 "Ви впевнені, що хочете перемістити $GREATPROJECT|Y$ до провінції $PROVINCE$?"
 MOVE_GREAT_PROJECT_IN_SUBJECT:0 "$GREATPROJECTTYPE$ - розпочато переміщення"
 MOVE_GREAT_PROJECT_IN_SUBJECT_EFFECT:0 "Вони перемістять $GREATPROJECT|Y$ до провінції $PROVINCE$."
 MOVE_GREAT_PROJECT_IN_SUBJECT_WHAT:0 "перемістити $GREATPROJECTTYPE$ до нашої країни"
 GREAT_PROJECT_MOVE_CONSTRUCTION_DESC:0 "Переміщення $TYPE$ $NAME|Y$ до провінції $PROVINCE$ буде завершено $DATE$"
 CANCEL_GREAT_PROJECT_MOVE:0 "Відмінити переміщення."
 CANCEL_GREAT_PROJECT_MOVE_IN_SUBJECT:0 "Переміщення $TYPE$ скасовано"
 CANCEL_GREAT_PROJECT_MOVE_IN_SUBJECT_WHAT:0 "припинити переміщення $TYPE$ до нашої країни"
 CANCEL_GREAT_PROJECT_MOVE_IN_SUBJECT_EFFECT:0 "Роботу по переміщенню $BUILDING|Y$ з провінції $PROVINCE$ припинено."
 MOVE_GREAT_PROJECT:1 "Починає переміщення $TYPE$ $NAME|Y$ до провінції $PROVINCE|Y$."
 CANCEL_GREAT_PROJECT_MOVE_PROGRESS:0 "Ви впевнені, що хочете зупинити переміщення будівлі $BUILDING$ з провінції $FROMPROVINCE$ до провінції $TOPROVINCE$? $PERCENTAGE_RETURNED|%1Y$ інвестицій буде повернуто."
 CANNOT_MOVE_GREAT_PROJECT_NO_PATH:0 "У вас немає доступного шляху з провінції $FROMPROVINCE|Y$ до провінції $TOPROVINCE|Y$."
 CANNOT_BUILD_GREAT_PROJECT_WRONG_LOCATION:0 "Тут не можна цього будувати."
 CAN_NOT_REDUCE_INFRASTRUCTURE_NOT_OWNED:0 "Нам необхідно заволодіти провінцією $WHERE|Y$, перш ніж ми зможемо погіршити в ній інфраструктуру."
 REDUCE_INFRASTRUCTURE_NOT_EXPANDED:0 "\n§RПерш ніж погіршити інфраструктуру провінції, її потрібно поліпшити.§!"
 REDUCE_INFRASTRUCTURE:0 "Погіршити інфраструктуру"
 REDUCE_INFRASTRUCTURE_DESC:0 "Погіршивши інфраструктуру в провінції $NAME|Y$ ми втратимо:\n$MODIFIERS$"
 REDUCE_INFRASTRUCTURE_TOOLTIP:0 "§Yпогіршити інфраструктуру§!"
 REDUCE_INFRASTRUCTURE_TOOLTIP_MODIFIER:0 "Погіршення інфраструктури провінції видалить такі ефекти:\n$MODIFIER$\n"
 great_project_can_be_built_instant:0 "Можна побудувати великі проєкти"
 great_project_can_be_built_delayed:0 "Можна побудувати такі великі проєкти:\n$LIST$"
 enemy_invasion_imminent_instant:0 "Вторгнення ворога неминуче"
 enemy_invasion_imminent_delayed:0 "Наступні ворожі флоти можуть висадити війська в ваших провінціях:\n$LIST$"
 homepage_button_tooltip:0 "Перейти на домашню сторінку EUIV"
 forum_button_tooltip:0 "Перейти на форуми EUIV"
 facebook_button_tooltip:0 "Перейти на сторінку EUIV у Facebook"
 twitter_button_tooltip:0 "Перейти на сторінку EUIV у Twitter"
 MACRO_REQUIREMENT_NOT_FULFILLED_GREAT_PROJECT:0 "Ці переваги неможливо використати, оскільки необхидні для $TYPE$ $BUILDING$  вимоги в цій провінції не виконані."
 FORT_MAINTENANCE_LOCK_NONC:0 "Maintenance lock can only be toggled on forts you control, as those are the only ones you pay money for."
 FORT_MAINTENANCE_LOCK_SIEGE:0 "Maintenance lock cannot be toggled when the province is under siege!"
 FORT_MAINTENANCE_LOCK_ON:0 "The fort in this province will never be mothballed."
 FORT_MAINTENANCE_LOCK_OFF:0 "The fort in this province can be mothballed by this interface or by the "Mothball all forts" button in the Military tab."
 FORT_MAINTENANCE_LOCK_ON_ACTION:0 "§GClick to allow mothballing forts§!"
 FORT_MAINTENANCE_LOCK_OFF_ACTION:0 "§GClick to never mothball forts§!"
 FREE_MERCHANT:0 "You have an unassigned merchant."
 FREE_MERCHANTS:0 "You have $NUMBER$ unassigned merchants."
 FORT_MAIN_LOCKED:0 "You cannot toggle fort maintenance when it is locked."
 CANNOT_DRAFT_WRONG_REFORMS:1 "You cannot draft transport ships without the Eastern Plutocratic monarchy reform."
 CANNOT_DRAFT_NO_AVAILABLE_UNITS:0 "You can only draft units up to $PERCENTAGE$% of your force limit ($MAXUNITS$ units). You currently have $CURRENTUNITS$ units."
 CANNOT_DRAFT_UNIT_TYPE:0 "You cannot draft $TYPE$ units."
 mechanic_allow_draft_transport_ships_yes:0 "Allows cheap drafting of transport ships."
 mechanic_allow_draft_transport_ships_no:0 "Disallows cheap drafting of transport ships."
 DRAFT_TRANSPORT_SHIPS:0 "Draft Transport Ships"
 MACRO_DRAFT_NAVY_TEMPLATE:0 "Draft units"
 MACRO_DRAFT_SAVING_TOOLTIP:0 "This template is available at a substantial saving:"
 MACRO_DRAFT_COST_TOOLTIP:0 "It will cost $COSTDRAFTED|Y$¤ for a saving of $SAVINGPERCENTAGE$% over the normal build cost of $COSTNORMAL|Y$¤."
 MACRO_DRAFT_MANPOWER_TOOLTIP:0 "It will use $MANPOWERDRAFTED|Y$ sailors for a saving of $SAVINGPERCENTAGE$% over the normal build cost of $MANPOWERNORMAL|Y$ sailors."
 MODIFIER_MONTHLY_HEIR_CLAIM_INCREASE:0 "Monthly Heir Claim Increase"
 MODIFIER_MONTHLY_HEIR_CLAIM_INCREASE_MODIFIER:0 "Monthly Heir Claim Increase Modifier"
 EXTEND_REGENCY_EFFECT_DESC:0 "Регентство в державі $COUNTRY|Y$ буде продовжено на $VALUE$ років.\n"
 REGENCY_ENDING:0 "Регентство над спадкоємцем ($HEIR|Y$) завершується $DATE$."
 HAS_NOT_ESTATE_REGENCY:0 "НЕ регенство стану.\n"
 HAS_ESTATE_REGENCY:0 "Регенство стану.\n"
 CHANGE_ESTATE_REGENCY_TO_RULER_EFFECT_DESC:0 "Регентство в державі $COUNTRY|Y$ буде продовжено на $VALUE$ років.\n"
 ESTATE_REGENCY_FOR:0 "Регенство стану $ESTATE$ над спадкоємцем ($HEIR$, вік: §Y$AGE$§W)"
 ESTATE_INTERREGNUM:0 "Міжцарів'я стану $ESTATE$"
 ADD_GREAT_PROJECT_TIER:0 "Changes the development of the $TYPE$ $NAME|Y$ by $TIERCHANGE$."
 MODIFIER_GREAT_PROJECT_UPGRADE_COST:0 "Вартість покращення великого проекту"
 MODIFIER_LOCAL_GREAT_PROJECT_UPGRADE_COST:0 "Місцева вартість покращення великого проекту"
 LEDGER_GREAT_PROJECTS:0 "Великі проекти"
 LEDGER_BUILT:0 "Побудовано"
 LEDGER_TIER:0 "Рівень"
 LEDGER_DESTROYED:0 "Зруйновано"
 NOTBUILT:0 "Не побудовано."
 concentrated_our_development:0 "Вкрали розвиток наших провінцій"
 CONFIRM_CONSOLIDATE_DEVELOPMENT_TITLE:1 "Concentrate development into our lands"
 CONFIRM_CONSOLIDATE_DEVELOPMENT_TEXT:1 "Channel development from $NAME$ for our own needs. This state will lose $DEVELOPMENT|Y$ development. Much of the development lost will end up in our capital, some will be distributed amongst our other states, some will be lost. In total, we will gain $DEVGAINED|Y$ development."
 CONFIRM_CONSOLIDATE_DEVELOPMENT_SUBJECT:0 "This will have the following effects on your subjects:"
 CONFIRM_CONSOLIDATE_DEVELOPMENT_SUBJECT_EFFECT:0 "  $SUBJECT|Y$:\n    Liberty Desire: $LIBERTYDESIRE|R$\n    Opinion: $OPINION|R$"
 NO_CONSOLIDATION_POSSIBLE:1 "Development cannot be concentratated from here."
 CANT_CONSOLIDATE_DEVELOPMENT_COOLDOWN:1 "You cannot concentratate development from this state again until $DATE$"
 crown_colony:0 "Коронна колонія"
 crown_colony_long_desc:0 "Коронна колонія має високий рівень прямого контролю з боку сюзерена. Вона приносить значні грошові надходження та рекрутів."
 crown_colony_title:0 "Коронна колонія"
 crown_colony_title_plural:0 "Коронні колонії"
 crown_colony_overlord:0 "Сюзерен коронної колонії"
 crown_colony_subject:0 "Суб'єкт коронної колонії"
 crown_colony_is_our:0 "§Y$NAME$§! - наша коронна колонія."
 private_enterprise:0 "Приватне підприємство"
 private_enterprise_long_desc:0 "A Private Enterprise will focus on getting extra monetary value out of the land and bringing that home to the overlord."
 private_enterprise_title:0 "Приватне підприємство"
 private_enterprise_title_plural:0 "Приватні підприємства"
 private_enterprise_overlord:0 "Сюзерен приватного підприємства"
 private_enterprise_subject:0 "Суб'єкт приватного підприємства"
 private_enterprise_is_our:0 "§Y$NAME$§! - наше приватне підприємство."
 self_governing_colony:0 "Самоврядна колонія"
 self_governing_colony_long_desc:0 "A Self-Governing Colony will focus on cultivating and improving the land. They will have a higher liberty desire than any other type of colony, but will be able to expand and develop faster."
 self_governing_colony_title:0 "Самоврядна колонія"
 self_governing_colony_title_plural:0 "Самоврядні колонії"
 self_governing_colony_overlord:0 "Сюзерен самоврядної колонії"
 self_governing_colony_subject:0 "Суб'єкт самоврядної колонії"
 self_governing_colony_is_our:0 "§Y$NAME$§! - наша самоврядна колонія."
 COLONY_OVERLORD_EFFECTS_TOOLTIP:0 "This will have the following effects on the overlord nation:\n"
 COLONY_LAND_FORCE_LIMIT_BONUS:0 "Land Force Limit Bonus: $BONUS|G$§G%§W of colony"
 COLONY_NAVAL_FORCE_LIMIT_BONUS:0 "Naval Force Limit Bonus: $BONUS|G$§G%§W of colony"
 COLONY_MANPOWER_BONUS:0 "Бонус рекрутів: $BONUS|G$§G%§W of colony"
 COLONY_SAILORS_BONUS:0 "Бонус моряків: $BONUS|G$§G%§W of colony"
 COLONY_SUBJECT_EFFECTS_TOOLTIP:0 "And the following effects on the colony:"
 CHANGE_COLONIAL_TYPE:0 "Змінити тип колонії"
 CHANGE_COLONIAL_TYPE_EFFECT:0 "$SUBJECT$ змінює тип колонії на $SUBJECTTYPE$."
 CHANGE_COLONIAL_TYPE_WHAT:0 "to change their colonial type."
 CHANGE_COLONIAL_TYPE_DESC:0 "Change Colonial Type from $SUBJECTTYPE$."
 MODIFIER_COLONIAL_TYPE_CHANGE_COST_MODIFIER:0 "Colonial Type Change Cost Modifier"
 CANT_CHANGE_COLONIAL_TYPE_NOT_COLONY:0 "Суб'єкт не є колонією"
 CANT_CHANGE_COLONIAL_TYPE_COOLDOWN:0 "You cannot change the colonial relationship until $DATE$"
 CANT_CHANGE_COLONIAL_TYPE_ALREADY_IS:0 "Subject is already a $SUBJECTTYPE$"
 CANT_CHANGE_COLONIAL_TYPE_NOT_ENOUGH_CASH:0 "You cannot afford the $COST$¤ required"
 MODIFIER_COLONIAL_SUBJECT_TYPE_UPGRADE_COST_MODIFIER:0 "Colonial Subject Type Upgrade Cost Modifier"
 COLONY_UPGRADE_EFFECTS_TOOLTIP:0 "On activating the upgrade:"
 UPGRADE_SUBJECT_TYPE:0 "Modify Subject Relationship"
 UPGRADE_SUBJECT_TYPE_EFFECT:0 "The relationship now includes:\n$SUBJECTTYPEUPGRADE$."
 UPGRADE_SUBJECT_TYPE_WHAT:0 "to change their relationship."
 UPGRADE_SUBJECT_TYPE_DESC:0 "Modify Subject Relationship."
 CANT_UPGRADE_SUBJECT_TYPE_NOT_COLONY:0 "Суб'єкт не є колонією"
 CANT_UPGRADE_SUBJECT_TYPE_NO_UPGRADES_AVAILABLE:0 "There are no valid changes to make"
 CANT_UPGRADE_SUBJECT_TYPE_NOT_ENOUGH_CASH:0 "You cannot afford the §Y$COST$§W¤ required"
 UPGRADE_SUBJECT_TYPE_SPECIFIC_DESC:0 "Add the subject relationship upgrade $SUBJECTTYPEUPGRADE$.\nЦе коштуватиме §Y$COST$§W¤."
 increased_force_limit_from_colony:0 "Increased Force Limit From Colony"
 CANT_CONSOLIDATE_DEVELOPMENT_NEED_DLC:0 "Потрібен DLC Левіафан"
 CONSOLIDATE_DEVELOPMENT_FROM_SUBJ:1 "$STATE$ will be pillaged by $TAKER$, changing Liberty Desire of $GIVER$% by $LD|-$."
 CONSOLIDATE_DEVELOPMENT_FROM_OTHER_NATION:0 "$STATE$ will be pillaged by $TAKER$."
 PEACE_PILLAGE_CAPITAL_STATE:0 "@$TAKERFLAG$ Pillage @$GIVERFLAG$ Capital"
 capital_state_pillaged_by_rival:0 "$TARGET$ pillaged our capital"
 PEACE_PILLAGE_CAPITAL_STATE_DESC:0 "$TAKER$ pillages $GIVER$ capital state"
 PILLAGE_CAPITAL_CANNOT_DONT_OCCUPY:0 "Місто $CAPITAL|Y$ не окуповано державою $TAKER|Y$ або одним з її суб'єктів.."
 PILLAGE_CAPITAL_CANNOT_NO_VALID_PROVINCES:0 "Захоплено всі провінції в столичному районі."
 NUM_OF_TIMES_PILLAGED_CAPITAL_STATE:1 "Число разів, коли в мирному договорі було використано 'Розграбування столичної провінції'"
 NUM_OF_TIMES_CONCENTRATED_DEVELOPMENT:0 "Число разів концентрації розвитку"
 COUNTRY_HAS_PILLAGED_CAPITAL_STATE_OF:0 "Держава $SCOPECOUNTRY|Y$ розграбувала столичну провінцію держави $OTHERCOUNTRY$.\n"
 COUNTRY_HAS_NOT_PILLAGED_CAPITAL_STATE_OF:0 "Держава $SCOPECOUNTRY|Y$ не розграбувала столичну провінцію держави $OTHERCOUNTRY$.\n"
 CANNOT_EXTEND_REGENCY_SUBJECT:0 "Неможливо подовжити регентство вашого сюзерена!"
 CANNOT_EXTEND_REGENCY_NOT_REGENT:1 "Зараз у вас не регентство!"
 CANNOT_EXTEND_REGENCY_NOT_MONARCHY:0 "Ви можете продовжити регентство спадкоємцю тільки при монархії!"
 CANNOT_EXTEND_REGENCY_NOT_ENOUGH_LEGITIMACY:0 "You haven't got enough Legitimacy to extend your regency!"
 CANNOT_EXTEND_REGENCY_PENDING_EVENT:0 "Cannot extend regency while there are pending events!"
 EXTEND_REGENCY_PERFORM:0 "Extend the regency for $HEIR|Y$ by $YEARS$ years.\nThis will give a hit of $LEGITIMACY_HIT|R$ legitimacy from this action."
 EXTEND_REGENCY_TITLE:0 "Продовжити регентство!"
 COUNTRY_HAS_BEEN_PILLAGED_TITLE:0 "Столицю розграбовано!"
 COUNTRY_HAS_BEEN_PILLAGED_SETUP:0 "Коли нашу столицю розграбовано."
