l_ukrainian:
 ADA:0 "Адал"
 NUB:0 "Сеннар"
 ODH:0 "Ауд"
 OIR:0 "Ойратська орда"
 OLD:0 "Ольденбург"
 OMA:0 "Оман"
 ORI:0 "Орісса"
 ORL:0 "Орлеан"
 OYO:0 "Ойо"
 PAL:0 "Пфальц"
 PAP:0 "Папська держава"
 PAR:0 "Парма"
 PAT:0 "Паттані"
 PEG:0 "Пеґу"
 PER:0 "Персія"
 PEU:0 "Перу"
 PIC:0 "Пікардія"
 PIS:0 "Піза"
 POL:0 "Польща"
 POM:0 "Померанія"
 POR:0 "Португалія"
 PRO:0 "Прованс"
 PRU:0 "Прусія"
 PSK:0 "Псков"
 PUN:0 "Пенджаб"
 QAR:0 "Кара-Коюнлу"
 QAS:0 "Касимовське ханство"
 QUE:0 "Квебек"
 RAG:0 "Рагуза"
 RAJ:0 "Раджпутана"
 REB:0 "Повстанці"
 RIG:0 "Рига"
 RUS:0 "Росія"
 RYA:0 "Рязань"
 RYU:0 "Рюкю"
 SAR:0 "Сардинія"
 SAV:0 "Савойя"
 SAX:0 "Саксонія"
 SCO:0 "Шотландія"
 SER:0 "Сербія"
 SHA:0 "Шауні"
 SHL:0 "Гольштейн"
 SHR:0 "Шарджа"
 SHY:0 "Узбеки"
 SIB:0 "Сибір"
 SIC:0 "Сицилія"
 SIE:0 "Сієна"
 SIL:0 "Сілезія"
 SLZ:0 "Зальцбург"
 SND:0 "Сінд"
 SOF:0 "Сегу"
 SON:0 "Сонгай"
 SPA:0 "Еспанія"
 SST:0 "Шан"
 STY:0 "Штирія"
 SUL:0 "Сулу"
 SWE:0 "Швеція"
 SWI:0 "Швейцарія"
 TAU:0 "Таунгу"
 TEU:0 "Тевтонський орден"
 THU:0 "Тюрингія"
 TIB:0 "Тибет"
 TIM:0 "Тимуріди"
 TIR:0 "Тіроль"
 TOK:0 "Тонкін"
 TOU:0 "Тулуза"
 TRA:0 "Трансильванія"
 TRE:0 "Трапезунд"
 TRI:0 "Трір"
 TRP:0 "Триполі"
 TRV:0 "Траванкор"
 TUN:0 "Туніс"
 TUR:0 "Османська Імперія"
 TUS:0 "Тоскана"
 TVE:0 "Твер"
 TYR:0 "Тайрон"
 UKR:0 "Русь"
 URB:0 "Урбіно"
 USA:1 "Сполучені Штати"
 UTR:0 "Утрехт"
 WAL:0 "Волощина"
 WBG:0 "Вюрцбург"
 VEN:0 "Венеція"
 VIE:0 "В'єнтьян"
 VIJ:0 "Віджаянагара"
 WLS:0 "Уельс"
 WUR:0 "Вюртемберг"
 YAR:0 "Ярославль"
 YOR:0 "Андхра"
 ZAP:0 "Сапотеки"
 ZAZ:0 "Військо Запорізьке"
 ZIM:0 "Мономотапа"
 NIZ:0 "Дева"
 BAS:0 "Ахмаднагар"
 NAT:0 "Тубільці"
 PIR:0 "Пірати"
 PIR_ADJ:0 "Піратськ"
 NAT_ADJ:0 "Тубільськ"
 ADA_ADJ:0 "Адалськ"
 ADE_ADJ:1 "Аденськ"
 AKK_ADJ:0 "Ак-Коюнлуськ"
 ALB_ADJ:0 "Албанськ"
 ALG_ADJ:0 "Алжирськ"
 ALH_ADJ:0 "Хааськ"
 ALS_ADJ:0 "Ельзаськ"
 AMG_ADJ:0 "Арманьякськ"
 ANH_ADJ:0 "Ангальтськ"
 ANN_ADJ:0 "Аннамськ"
 ANS_ADJ:0 "Ансбахськ"
 ARA_ADJ:0 "Арагонськ"
 ARK_ADJ:0 "Араканськ"
 ARM_ADJ:0 "Вірменськ"
 ASH_ADJ:0 "Ашантійськ"
 ASS_ADJ:0 "Ассамськ"
 AST_ADJ:0 "Астраханськ"
 ATH_ADJ:0 "Афінськ"
 ATJ_ADJ:0 "Ачехськ"
 AUV_ADJ:0 "Овернськ"
 AVI_ADJ:0 "Авіньйонськ"
 AYU_ADJ:0 "Аюттхайськ"
 AZT_ADJ:0 "Ацтекськ"
 BAD_ADJ:0 "Баденськ"
 BLI_ADJ:0 "Балійськ"
 BAN_ADJ:0 "Бантенськ"
 BAL_ADJ:0 "Белудзьк"
 BAV_ADJ:0 "Баварськ"
 BEI_ADJ:0 "Брунейськ"
 BEN_ADJ:0 "Бенінськ"
 BHU_ADJ:0 "Бутанськ"
 BIJ_ADJ:0 "Біджапурськ"
 BND_ADJ:0 "Бунделкхандськ"
 BNG_ADJ:0 "Бенгальськ"
 BOH_ADJ:0 "Богемськ"
 BOS_ADJ:0 "Боснійськ"
 BOU_ADJ:0 "Бурбонськ"
 BRA_ADJ:0 "Бранденбурзьк"
 BRB_ADJ:0 "Брабантськ"
 BRE_ADJ:0 "Бременськ"
 BRI_ADJ:0 "Бретонськ"
 BRR_ADJ:0 "Берарськ"
 BRU_ADJ:0 "Брауншвейзьк"
 BRZ_ADJ:0 "Бразильськ"
 BUL_ADJ:0 "Болгарськ"
 BUR_ADJ:0 "Бургундськ"
 CAN_ADJ:0 "Канадськ"
 CAS_ADJ:0 "Кастилськ"
 CAT_ADJ:0 "Каталонськ"
 CEP_ADJ:0 "Корфськ"
 CHA_ADJ:0 "Чампськ"
 CHE_ADJ:0 "Черокськ"
 CHG_ADJ:0 "Чагатайськ"
 CHK_ADJ:0 "Чампасакськ"
 CHL_ADJ:0 "Чилійськ"
 CHM_ADJ:0 "Чіморськ"
 CHP_ADJ:0 "Шампанськ"
 CND_ADJ:0 "Кандарськ"
 COL_ADJ:0 "Колумбійськ"
 CNN_ADJ:0 "Коннахтськ"
 COR_ADJ:0 "Корсиканськ"
 CRE_ADJ:0 "Крікськ"
 CRI_ADJ:0 "Кримськ"
 CRN_ADJ:0 "Корнуольськ"
 CRO_ADJ:0 "Хорватськ"
 CRT_ADJ:0 "Критськ"
 CYP_ADJ:0 "Кіпріотськ"
 DAI_ADJ:0 "Дай-в'єтськ"
 DAN_ADJ:0 "Данськ"
 DAU_ADJ:0 "Дофінськ"
 DLH_ADJ:0 "Делійськ"
 DUL_ADJ:0 "Дулкадірськ"
 DUR_ADJ:0 "Дурранійськ"
 ENG_ADJ:0 "Англійськ"
 ETH_ADJ:0 "Ефіопськ"
 FER_ADJ:0 "Феррарськ"
 FEZ_ADJ:0 "Феськ"
 FIN_ADJ:0 "Фінляндськ"
 FLA_ADJ:0 "Фландрійськ"
 FOI_ADJ:0 "Фуаськ"
 FRA_ADJ:0 "Французьк"
 FRI_ADJ:0 "Фрисландськ"
 GBR_ADJ:0 "Великобританськ"
 GDW_ADJ:0 "Гондванськ"
 GEL_ADJ:0 "Гелдернськ"
 GEN_ADJ:0 "Генуезьк"
 GEO_ADJ:0 "Грузинськ"
 GER_ADJ:0 "Німецьк"
 GOL_ADJ:0 "Великоординськ"
 GOT_ADJ:0 "Готландськ"
 GRA_ADJ:0 "Гранадськ"
 GRE_ADJ:0 "Грецьк"
 GUJ_ADJ:0 "Гуджаратськ"
 GUY_ADJ:0 "Гієнськ"
 HAB_ADJ:0 "Австрійськ"
 HAI_ADJ:0 "Еноськ"
 HAM_ADJ:0 "Гамбурзьк"
 HAN_ADJ:0 "Ганноверськ"
 HAU_ADJ:0 "Хауськ"
 HED_ADJ:0 "Хіджазьк"
 HES_ADJ:0 "Гессенськ"
 HOL_ADJ:0 "Голландськ"
 HUN_ADJ:0 "Угорськ"
 HUR_ADJ:0 "Гуронськ"
 INC_ADJ:0 "Інкськ"
 IRE_ADJ:0 "Ірландськ"
 IRO_ADJ:0 "Ірокезьк"
 ITA_ADJ:0 "Італійськ"
 JAP_ADJ:0 "Японськ"
 KAR_ADJ:0 "Караманськ"
 KAZ_ADJ:0 "Казанськ"
 KBO_ADJ:0 "Канемборнськ"
 KHA_ADJ:0 "Монголськ"
 KHD_ADJ:0 "Кандеськ"
 KHI_ADJ:0 "Хівськ"
 KHM_ADJ:0 "Кхмерськ"
 KLE_ADJ:0 "Клевськ"
 KNI_ADJ:0 "Госпітальєрськ"
 KOK_ADJ:1 "Ферганск"
 KOL_ADJ:0 "Колонськ"
 KON_ADJ:0 "Конголезьк"
 KOR_ADJ:0 "Корейськ"
 KRK_ADJ:0 "Карнатакськ"
 KSH_ADJ:0 "Кашмірськ"
 KUR_ADJ:0 "Курляндськ"
 KZH_ADJ:0 "Казахськ"
 LAN_ADJ:0 "Флорентійськ"
 LAP_ADJ:0 "Ла-платськ"
 LEI_ADJ:0 "Ленстерськ"
 LIE_ADJ:0 "Льєзьк"
 LIT_ADJ:0 "Литовськ"
 LNA_ADJ:0 "Ланнськ"
 LOA_ADJ:0 "Лоанзьк"
 LOR_ADJ:0 "Лотаринзьк"
 LOU_ADJ:0 "Луїзіанськ"
 LUA_ADJ:0 "Луанг-прабанзьк"
 LUN_ADJ:0 "Люнебурзьк"
 LUX_ADJ:0 "Люксембурзьк"
 LXA_ADJ:0 "Лан-санзьк"
 MAD_ADJ:0 "Мадурайськ"
 MAG_ADJ:0 "Магдебурзьк"
 MAI_ADJ:0 "Майнцьк"
 MAL_ADJ:0 "Малійськ"
 MAM_ADJ:0 "Мамелюкськ"
 MAN_ADJ:0 "Мантуйськ"
 MAY_ADJ:0 "Майянськ"
 MAZ_ADJ:0 "Мазовецьк"
 MCH_ADJ:0 "Маньчжурськ"
 MEX_ADJ:0 "Мексиканськ"
 MKL_ADJ:0 "Мекленбурзьк"
 MKS_ADJ:0 "Макассарськ"
 MLC_ADJ:0 "Малаккськ"
 MLO_ADJ:0 "Міланськ"
 MLW_ADJ:0 "Малавськ"
 MNG_ADJ:0 "Мінськ"
 MNS_ADJ:0 "Манстерськ"
 MOD_ADJ:0 "Моденськ"
 MOE_ADJ:0 "Морейськ"
 MOL_ADJ:0 "Молдавськ"
 MON_ADJ:0 "Чорногорськ"
 MOR_ADJ:0 "Марокканськ"
 MOS_ADJ:0 "Московськ"
 MTR_ADJ:0 "Матарамськ"
 MUG_ADJ:0 "Могольськ"
 MUN_ADJ:0 "Мюнстерськ"
 MYS_ADJ:0 "Майсурськ"
 NAJ_ADJ:0 "Недждськ"
 NAV_ADJ:0 "Наваррськ"
 NAX_ADJ:0 "Наксоськ"
 NED_ADJ:0 "Нідерландськ"
 NEV_ADJ:0 "Неверськ"
 NOG_ADJ:0 "Ногайськ"
 NOL_ADJ:0 "Нортумберлендськ"
 NOR_ADJ:0 "Норвезьк"
 NOV_ADJ:0 "Новгородськ"
 NPL_ADJ:0 "Непальськ"
 NRM_ADJ:0 "Нормандськ"
 NUB_ADJ:0 "Сеннарськ"
 ODH_ADJ:0 "Аудськ"
 OIR_ADJ:0 "Ойратськ"
 OLD_ADJ:0 "Ольденбурзьк"
 OMA_ADJ:0 "Оманськ"
 ORI_ADJ:0 "Оріськ"
 ORL_ADJ:0 "Орлеанськ"
 OYO_ADJ:0 "Ойонськ"
 PAL_ADJ:0 "Пфальцьк"
 PAP_ADJ:0 "Папськ"
 PAR_ADJ:0 "Пармськ"
 PAT_ADJ:0 "Паттанійськ"
 PEG_ADJ:0 "Пеґузьк"
 PER_ADJ:0 "Перськ"
 PEU_ADJ:0 "Перуанськ"
 PIC_ADJ:0 "Пікардійськ"
 PIS_ADJ:0 "Пізанаськ"
 POL_ADJ:0 "Польськ"
 POM_ADJ:0 "Померанськ"
 POR_ADJ:0 "Португальськ"
 PRO_ADJ:0 "Провансальськ"
 PRU_ADJ:0 "Пруськ"
 PSK_ADJ:0 "Псковськ"
 PUN_ADJ:0 "Пенджабськ"
 QAR_ADJ:0 "Кара-коюнлуськ"
 QAS_ADJ:0 "Касимовськ"
 QUE_ADJ:0 "Квебекськ"
 RAG_ADJ:0 "Рагузьк"
 RAJ_ADJ:0 "Раджпутанськ"
 REB_ADJ:0 "Повстанськ"
 RIG_ADJ:0 "Ризьк"
 RUS_ADJ:0 "Російськ"
 RYA_ADJ:0 "Рязанськ"
 RYU_ADJ:0 "Рюкюськ"
 SAR_ADJ:0 "Сардинськ"
 SAV_ADJ:0 "Савойськ"
 SAX_ADJ:0 "Саксонськ"
 SCO_ADJ:0 "Шотландськ"
 SER_ADJ:0 "Сербськ"
 SHA_ADJ:0 "Шаунійськ"
 SHL_ADJ:0 "Гольштейнськ"
 SHR_ADJ:0 "Шарджаськ"
 SHY_ADJ:0 "Узбецьк"
 SIB_ADJ:0 "Сибірськ"
 SIC_ADJ:0 "Сицилійськ"
 SIE_ADJ:0 "Сієнськ"
 SIL_ADJ:0 "Сілезійськ"
 SLZ_ADJ:0 "Зальцбурзьк"
 SND_ADJ:0 "Сіндськ"
 SOF_ADJ:0 "Сегуськ"
 SON_ADJ:0 "Сонгайськ"
 SPA_ADJ:0 "Еспанськ"
 SST_ADJ:0 "Шанськ"
 STY_ADJ:0 "Штирійськ"
 SUL_ADJ:0 "Сулуськ"
 SWE_ADJ:0 "Швецьк"
 SWI_ADJ:0 "Швейцарськ"
 TAU_ADJ:0 "Таунгуськ"
 TEU_ADJ:0 "Тевтонськ"
 THU_ADJ:0 "Тюринзьк"
 TIB_ADJ:0 "Тибетськ"
 TIM_ADJ:0 "Тимурідськ"
 TIR_ADJ:0 "Тірольськ"
 TOK_ADJ:0 "Тонкінськ"
 TOU_ADJ:0 "Тулузьк"
 TRA_ADJ:0 "Трансильванськ"
 TRE_ADJ:0 "Трапезундськ"
 TRI_ADJ:0 "Трірськ"
 TRP_ADJ:0 "Триполійськ"
 TRV_ADJ:0 "Траванкорськ"
 TUN_ADJ:0 "Туніськ"
 TUR_ADJ:0 "Османськ"
 TUS_ADJ:0 "Тосканськ"
 TVE_ADJ:0 "Тверськ"
 TYR_ADJ:0 "Тайронськ"
 UKR_ADJ:0 "Руськ"
 URB_ADJ:0 "Урбінськ"
 USA_ADJ:0 "Американськ"
 UTR_ADJ:0 "Утрехтськ"
 WAL_ADJ:0 "Волоськ"
 WBG_ADJ:0 "Вюрцбурзьк"
 VEN_ADJ:0 "Венеціанськ"
 VIE_ADJ:0 "В'єнтьянськ"
 VIJ_ADJ:0 "Віджаянагарськ"
 WLS_ADJ:0 "Уельськ"
 WUR_ADJ:0 "Вюртемберзьк"
 YAR_ADJ:0 "Ярославськ"
 YOR_ADJ:0 "Андхайськ"
 ZAP_ADJ:0 "Сапотекськ"
 ZAZ_ADJ:0 "Запорозьк"
 ZIM_ADJ:0 "Мономотапськ"
 NIZ_ADJ:0 "Девськ"
 BAS_ADJ:0 "Ахмаднагарськ"
 AMA:0 "Амаґо"
 ASA:0 "Асакура"
 CSK:0 "Тьосокабе"
 DTE:0 "Дате"
 HJO:0 "Ходзьо"
 HSK:0 "Хосокава"
 HTK:0 "Хатакеяма"
 IKE:0 "Ікеда"
 IMG:0 "Імаґава"
 MAE:0 "Маеда"
 MRI:0 "Морі"
 ODA:0 "Ода"
 OTM:0 "Отомо"
 OUC:0 "Оуті"
 SBA:0 "Шіба"
 SMZ:0 "Шімадзу"
 TKD:0 "Такеда"
 TKG:0 "Токуґава"
 UES:0 "Уесуґі"
 YMN:0 "Ямана"
 AMA_ADJ:0 "Амаґськ"
 ASA_ADJ:0 "Асакурськ"
 CSK_ADJ:0 "Тьосокабськ"
 DTE_ADJ:0 "Датеськ"
 HJO_ADJ:0 "Ходзьойськ"
 HSK_ADJ:0 "Хосокавськ"
 HTK_ADJ:0 "Хатакеямськ"
 IKE_ADJ:0 "Ікедськ"
 IMG_ADJ:0 "Імаґавськ"
 MAE_ADJ:0 "Маедськ"
 MRI_ADJ:0 "Морійськ"
 ODA_ADJ:0 "Одськ"
 OTM_ADJ:0 "Отомськ"
 OUC_ADJ:0 "Оутськ"
 SBA_ADJ:0 "Шібськ"
 SMZ_ADJ:0 "Шімадзьк"
 TKD_ADJ:0 "Такедськ"
 TKG_ADJ:0 "Токуґавськ"
 UES_ADJ:0 "Уесуґськ"
 YMN_ADJ:0 "Яманськ"
 JNP:0 "Джанпур"
 MAW:0 "Марвар"
 MER:0 "Мевар"
 MUL:0 "Мултан"
 JAN:0 "Джангладеш"
 GRJ:0 "Ґаржат"
 GWA:0 "Ґваліор"
 DHU:0 "Дхундхар"
 KLN:0 "Келаді"
 MAB:0 "Малабар"
 MEW:0 "Меват"
 BST:0 "Бастар"
 JSL:0 "Джайсалмер"
 KAC:0 "Качар"
 KMT:0 "Коч"
 KGR:0 "Канґра"
 KAT:0 "Катхіявар"
 KOC:0 "Кочін"
 AHM:0 "Ахмеднагар"
 BAH:0 "Бахмані"
 NAG:0 "Наґпур"
 BDA:0 "Барода"
 GOC:0 "Голконда"
 MAR:0 "Маратха"
 VND:0 "Венад"
 DEC:0 "Декан"
 CZH:0 "Чжоу"
 CSH:0 "Шун"
 CXI:0 "Сі"
 JOL:0 "Джолоф"
 JOL_ADJ:0 "Джолофськ"
 JNP_ADJ:0 "Джанпурськ"
 MAW_ADJ:0 "Марварськ"
 MER_ADJ:0 "Меварськ"
 MUL_ADJ:0 "Мултанськ"
 JAN_ADJ:0 "Джангладеськ"
 GRJ_ADJ:0 "Ґаржатськ"
 GWA_ADJ:0 "Ґваліорськ"
 DHU_ADJ:0 "Дхундхарськ"
 KLN_ADJ:0 "Келадійськ"
 MAB_ADJ:0 "Малабарськ"
 MEW_ADJ:0 "Меватськ"
 BST_ADJ:0 "Бастарськ"
 JSL_ADJ:0 "Джайсалмерськ"
 KAC_ADJ:0 "Качарськ"
 KMT_ADJ:0 "Кочськ"
 KGR_ADJ:0 "Канґрійськ"
 KAT_ADJ:0 "Катхіяварськ"
 KOC_ADJ:0 "Кочінськ"
 AHM_ADJ:0 "Ахмеднагарськ"
 BAH_ADJ:0 "Бахманійськ"
 NAG_ADJ:0 "Наґпурськ"
 BDA_ADJ:0 "Бародськ"
 GOC_ADJ:0 "Голкондськ"
 MAR_ADJ:0 "Маратхайськ"
 VND_ADJ:0 "Венадськ"
 DEC_ADJ:0 "Деканськ"
 CZH_ADJ:0 "Чжоуськ"
 CSH_ADJ:0 "Шунськ"
 CXI_ADJ:0 "Сійськ"
 PLC:0 "Річ Посполита"
 PLC_ADJ:0 "Посполитськ"
 PRM:0 "Перм"
 PRM_ADJ:0 "Персмьк"
 CEY:0 "Цейлон"
 CEY_ADJ:0 "Цейлонськ"
 AFG:0 "Афганістан"
 AFG_ADJ:0 "Афганськ"
 QNG:0 "Цін"
 QNG_ADJ:0 "Цінськ"
 ABE:0 "Абенаки"
 APA:0 "Апачі"
 ASI:0 "Ассінібойни"
 BLA:0 "Чорноногі"
 CAD:0 "Кеддо"
 CHI:0 "Чікасо"
 CHO:0 "Чокто"
 CHY:0 "Шайєнни"
 COM:0 "Команчі"
 FOX:0 "Фокси"
 ILL:0 "Іллінойси"
 LEN:0 "Ленапе"
 MIK:0 "Мікмаки"
 MMI:0 "Маямі"
 MAH:0 "Могікани"
 NAH:0 "Навахо"
 OJI:0 "Оджибва"
 OSA:0 "Осейджі"
 OTT:0 "Оттава"
 PAW:0 "Пауні"
 PEQ:0 "Пекоти"
 PIM:0 "Піма"
 POT:0 "Потаватомі"
 POW:0 "Поухатани"
 PUE:0 "Пуебло"
 SIO:0 "Сіу"
 SHO:0 "Шошони"
 SUS:0 "Саскуеханнок"
 WCR:0 "Крі"
 ABE_ADJ:0 "Абенакськ"
 APA_ADJ:0 "Апачеськ"
 ASI_ADJ:0 "Ассінібойнськ"
 BLA_ADJ:0 "Чорнонозьк"
 CAD_ADJ:0 "Кедськ"
 CHI_ADJ:0 "Чікаськ"
 CHO_ADJ:0 "Чоктоськ"
 CHY_ADJ:0 "Шайєнськ"
 COM_ADJ:0 "Команчеськ"
 FOX_ADJ:0 "Фокськ"
 ILL_ADJ:0 "Іллінойськ"
 LEN_ADJ:0 "Ленапськ"
 MIK_ADJ:0 "Мікмакськ"
 MMI_ADJ:0 "Маямськ"
 MAH_ADJ:0 "Могіканськ"
 NAH_ADJ:0 "Навахськ"
 OJI_ADJ:0 "Оджибвійськ"
 OSA_ADJ:0 "Осейджійськ"
 OTT_ADJ:0 "Оттавськ"
 PAW_ADJ:0 "Паунськ"
 PEQ_ADJ:0 "Пекотськ"
 PIM_ADJ:0 "Пімськ"
 POT_ADJ:0 "Потаватомськ"
 POW_ADJ:0 "Поухатанськ"
 PUE_ADJ:0 "Пуеблійськ"
 SIO_ADJ:0 "Сіуанськ"
 SHO_ADJ:0 "Шошонськ"
 SUS_ADJ:0 "Саскуеханнокськ"
 WCR_ADJ:0 "Крікськ"
 ZAN:0 "Кілва"
 ZAN_ADJ:0 "Кілваськ"
 AJU:0 "Аджуран"
 AJU_ADJ:0 "Аджуранськ"
 MBA:0 "Момбаса"
 MBA_ADJ:0 "Момбаськ"
 MDI:0 "Могадішо"
 MDI_ADJ:0 "Могадіськ"
 MLI:0 "Малінді"
 MLI_ADJ:0 "Маліндійськ"
 SFA:0 "Софала"
 SFA_ADJ:0 "Софальськ"
 EGY:0 "Єгипет"
 EGY_ADJ:0 "Єгипетськ"
 BUK:0 "Бухара"
 BUK_ADJ:0 "Бухарськ"
 BGA:0 "Баглан"
 BGA_ADJ:0 "Багланськ"
 BGL:0 "Багелханд"
 BGL_ADJ:0 "Багелхандськ"
 CHD:0 "Чанда"
 CHD_ADJ:0 "Чандійськ"
 CMP:0 "Рева Канті"
 CMP_ADJ:0 "Ревантійськ"
 GHR:0 "Гархвал"
 GHR_ADJ:0 "Гархвальськ"
 HAD:0 "Хадоті"
 HAD_ADJ:0 "Хадотійськ"
 JAJ:0 "Хабсан"
 JAJ_ADJ:0 "Хабсанськ"
 JFN:0 "Джафна"
 JFN_ADJ:0 "Джафнійськ"
 LDK:0 "Ладакх"
 LDK_ADJ:0 "Ладакхськ"
 MLB:0 "Маніпур"
 MLB_ADJ:0 "Маніпурськ"
 NGA:0 "Нагаур"
 NGA_ADJ:0 "Нагаурськ"
 NGP:0 "Джаркханд"
 NGP_ADJ:0 "Джаркхандійськ"
 PTA:0 "Патіала"
 PTA_ADJ:0 "Патіальськ"
 RMP:0 "Рохілкханд"
 RMP_ADJ:0 "Рохілкхандськ"
 SDY:0 "Садія"
 SDY_ADJ:0 "Садійськ"
 TPR:0 "Тріпура"
 TPR_ADJ:0 "Тріпурськ"
 TRT:0 "Тірхут"
 TRT_ADJ:0 "Тірхутськ"
 CIR:0 "Черкесія"
 CIR_ADJ:0 "Черкеськ"
 GAZ:0 "Газікумух"
 GAZ_ADJ:0 "Газікумухськ"
 IME:0 "Імеретія"
 IME_ADJ:0 "Імеретськ"
 TAB:1 "Мазандаран"
 TAB_ADJ:1 "Мазандаранськ"
 MYR:0 "Ежень"
 MYR_ADJ:0 "Еженськ"
 MHX:0 "Хайсі"
 MHX_ADJ:0 "Хайсійськ"
 KRC:0 "Корчин"
 KRC_ADJ:0 "Корчинськ"
 KLK:0 "Халха"
 KLK_ADJ:0 "Халхійськ"
