l_ukrainian:
 # map
 PROV4790:0 "Панггуянган"
 PROV_ADJ4820:0 "Хунгхоаськ"
 PROV_ADJ4821:0 "Нгеанськ"
 PROV_ADJ4822:0 "Амараватійськ"
 PROV_ADJ4823:0 "Зярайськ"
 PROV_ADJ4824:0 "Едейськ"
 PROV_ADJ4825:0 "Пурсатськ"
 PROV_ADJ4826:0 "Кампотськ"
 PROV_ADJ4827:0 "Кампонгпоустомськ"
 PROV_ADJ4828:0 "Правіхеарськ"
 PROV_ADJ4829:0 "Раунгдепайськ"
 PROV_ADJ4830:0 "Районґськ"
 PROV_ADJ4831:0 "Бангкокськ"
 PROV_ADJ4832:0 "Лавойськ"
 PROV_ADJ4833:0 "Фетчабунськ"
 PROV_ADJ4834:0 "Суфан-бурійськ"
 PROV_ADJ4835:0 "Канчанабурськ"
 PROV_ADJ4836:0 "Сі-тепськ"
 PROV_ADJ4837:0 "Муанг-нгойськ"
 PROV_ADJ4838:0 "Роі-етськ"
 PROV_ADJ4839:0 "Чампасакськ"
 PROV_ADJ4840:0 "Секонґськ"
 PROV_ADJ4841:0 "Лампунськ"
 PROV_ADJ4842:0 "Лампангськ"
 PROV_ADJ4843:0 "Аннамськ"
 PROV_ADJ4844:0 "Давнськ"
 PROV_ADJ4845:0 "Мамуджуйськ"
 banten_area:0 "Бантен"
 surabaya_area:0 "Сурабая"
 sundanese:0 "Сунданськ"
 nusa_tenggara:0 "Нуса-Тенґарськ"
 makassar_area:0 "Макасар"
 jambi_area:0 "Джамбі"
 sabah_area:0 "Сабах"
 banjar_area:0 "Банджар"
 johor_area:0 "Джохор"
 north_malaya_area:0 "Північна Малайя"
 tay_nguyen_area:0 "Тхайнгуєн"
 angkor_area:0 "Ангкор"
 sukhothai_area:0 "Сукхотай"
 vientiane_area:0 "В'єнтьян"
 champasak_area:0 "Чампасак"
 BNE:0 "Боне"
 BNE_ADJ:0 "Бонеськ"
 BEU:0 "Берау"
 BEU_ADJ:0 "Берауськ"
 SMB:0 "Самбас"
 SMB_ADJ:0 "Самбаськ"
 BRS:0 "Барус"
 BRS_ADJ:0 "Баруськ"
 DLI:0 "Делі"
 DLI_ADJ:0 "Делійськ"
 JMB:0 "Джамбі"
 JMB_ADJ:0 "Джамбійськ"
 PAH:0 "Паханг"
 PAH_ADJ:0 "Пахангськ"
 KEL:0 "Келантан"
 KEL_ADJ:0 "Келантанськ"
 IND:0 "Індрапура"
 IND_ADJ:0 "Індрапурськ"
 JAR:0 "Ярай"
 JAR_ADJ:0 "Ярайськ"
 RHA:0 "Еде"
 RHA_ADJ:0 "Едесье"
 KOH:0 "Кохо"
 KOH_ADJ:0 "Кохоськ"
 SIA:0 "Сіам"
 SIA_ADJ:0 "Сіамськ"
 thai_group:0 "Тайськ"
 acehnese:0 "Ачехськ"
 cloves:0 "Гвоздика"
 clovesDESC:0 "Гвоздика - дуже цінна пряність, її батьківщиною вважаються Молуккські острови в Індонезії, і виявилася причиною декількох війн, розв'язаних за контроль над її виробництвом. Гвоздика - це ароматичні квіткові бруньки, які збирають, коли ці бутони переходять у яскраво-червоний від початкового блідого відтінку. Гвоздика широко використовується в кухнях від Азії до Середземномор'я, і дісталася аж до Америки шляхом колонізації."
 # Events
 khmer.1.t:0 "Темний вік Камбоджі"
 khmer.1.d:0 "Колись могутня Кхмерська імперія впала. Ангкор, саме серце кхмерської цивілізації, лежить в руїнах і покинутий після руйнівного розграбування тайськими загарбниками. По всій Камбоджі храми та міста занепадають, оскільки всі спроби короля встановити свою владу за межами нової столиці присікаються. Для кхмерського народу настали темні часи."
 khmer.1.a:0 "Ми знову піднімемось."
 khmer_dark_age_tt:0 "§YВартість всіх балів§! збільшується на §R25%§!"
 khmer.2.t:0 "Кхмерське відродження"
 khmer.2.d:0 "Роки після падіння Ангкора були нелегкими, але невтомними зусиллями [Root.Monarch.GetTitleOGO] ми вийшли з темряви, що охопила [Root.GetTagKUDY]. Велике місто Ангкор та його величний храмовий комплекс були відновлені, а [Root.Monarch.GetTitle] відновив його як столицю. Сільська місцевість знову заселена та продуктивна, а серця нашого народу сповнені духовності. Кхмерська імперія готова знову піднятися."
 khmer.2.a:0 "Перемога за [Root.GetTagKYM]!"
 khmer.3.t:0 "Віра в [Root.GovernmentName] [Root.GetTagOGO]"
 khmer.3.d:0 "Наше навернення до буддизму Тхеравади пройшло не зовсім гладко. Є ті, хто противиться вчення Будди та продовжує практикувати гіндуїзм, в той час, як інші вважають, що гілка Махаяни - це істинний шлях. Тепер, коли ми досягли деякої подоби релігійного миру, ми повинні вирішити, яку віру ми повинні прийняти як державну релігію."
 khmer.3.a:0 "Наша віра Тхеравада приведе нас до просвітлення."
 khmer.3.b:0 "Погляньмо на своє минуле; ми повернемося до гіндуїзму."
 khmer.3.c:0 "Буддизм Махаяни підходить нам."
 dark_age_of_cambodia:0 "Темний вік Камбоджі"
 desc_dark_age_of_cambodia:0 "Наша цивілізація лежить у руїнах. Кхмерська імперія впала."
 siamese_nation_title:0 "Сформувати Сіамську націю"
 siamese_nation_desc:0 "Тайські народи повинні бути об'єднані в єдину державу, створюючи імперію, яка пануватиме в Південно-Східній Азії."
 flavor_peg.1.t:0 "Шін Савбу"
 flavor_peg.1.d1:0 "Оскільки чоловіча лінія Пегу майже вичерпалася, а [Root.Heir.GetName] ще просто дитина, Королівство Пегу не має кормчого. У ці часи війни та невизначеності люди звертаються до Шін Савбу, матері короля Біння Вару, щоб їх скеровували. Шін Савбу - жінка виняткового адміністративного таланту і релігійного благочестя, яка керувала королівським домом протягом багатьох десятиліть. Проголошення її королевою-регентшею напевно буде популярним в народі."
 flavor_peg.1.d2:0 "Оскільки чоловіча лінія Пегу майже вичерпалася, спадкоємність ненадійна. У ці часи війни та невизначеності люди звертаються до Шін Савбу, матері короля Біння Вару, щоб їх скеровували. Шін Савбу - жінка виняткового адміністративного таланту і релігійного благочестя, яка керувала королівським домом протягом багатьох десятиліть. Оголошення її спадкоємницею Королівства напевно буде популярним в народі."
 flavor_peg.1.a:0 "Шін Савбу буде нашою королевою."
 flavor_peg.1.b:0 "Вона неприйнятна для престолу."
 flavor_peg.2.t:0 "Дхаммазеді"
 flavor_peg.2.d:2 "Під час нещасливих років Шін Савбу при дворі Ави вона зустріла монського ченця, на ім'я Пітакахара. Цей ченець був надзвичайно мудрим у питаннях як духовних, так і мирських, і тому Шін Собу вирішила протегувати йому. Відданість Пітакахари майбутній королеві була велика, і вони разом розробили план втечі назад до Пегу. Зараз Пітакахара - найближчий радник королеви. У міру того, як Шін Савбу стає старше, вона бажає зректися престолу і жити духовною відданістю. Вона відкрито роздумує про одруження Пітакахари з однією зі своїх дочок, надання йому титулу Дхаммазеді та проголошення його королем Пегу."
 flavor_peg.2.a:0 "Нехай Дхаммазеді негайно посяде трон."
 flavor_peg.2.b:0 "Назвіть Дхаммазеді спадкоємцем престолу."
 flavor_peg.2.c:0 "Нами не буде керувати ченець."
 flavor_suk.1.t:0 "Вознесіння Трайлока"
 flavor_suk.1.d:0 "В останні роки колись могутнє королівство Сукхотай стало не більше ніж намісництвом Аюттхаї. Скориставшись можливістю отримати більший контроль над Сукхотаєм, аюттхайський принц був призначений королем Сукхотаю після смерті їхнього останнього суверенного короля Бороммапана. Цей принц, Трайлок, зараз зійшов на престол Аюттхаї. Це відкриває унікальну можливість повністю інтегрувати Скухотай до нашого королівства."
 flavor_suk.1.a:0 "Інтегрувати Сукхотай до королівства Аюттхай."
 flavor_suk.1.b:0 "Призначити нового намісника в Сукхотай."
 flavor_suk.1.c:0 "Нехай прийме рішення Трайлок."
 flavor_suk.2.a:0 "Правити в Сукхотай та призначити принца в Аюттхайю."
 flavor_suk.2.b:0 "Відмовитися від трону Аюттхаї."
 flavor_suk.2.c:0 "Призначити губернатора в Сукхотай."
 abandoned_mlc:0 "Покинули Малаку"
 emerald_buddha:0 "Смарагдовий Будда"
 desc_emerald_buddha:0 "Цей священний артефакт зберігається у храмі цієї провінції. Бережіть його добре, адже він високо цінується нашими ворогами."
 emerald_buddha_tt:1 "§YСмарагдовий Будда§! буде прибраний з провінції §Y[Root.GetName]§!."
 emerald_buddha_alternate:0 "Смарагдовий Будда"
 desc_emerald_buddha_alternate:0 "Цей священний артефакт зберігається у храмі цієї провінції. Бережіть його добре, адже він високо цінується нашими ворогами."
 renovate_emerald_buddha_shrine_title:0 "Реконструювати святиню Смарагдового Будди (§YKarma +§!)"
 renovate_emerald_buddha_shrine_desc:1 "Святиня, в якій зберігається священний Смарагдовий Будда, потребує реконструкції не тільки заради покращення її утримання, а й для того, щоб підкреслити ті аспекти буддизму, які нині корисні для держави."
 renovate_emerald_buddha_shrine_alternate_title:0 "Реконструювати святиню Смарагдового Будди (§YKarma -§!)"
 renovate_emerald_buddha_shrine_alternate_desc:1 "Святиня, в якій зберігається священний Смарагдовий Будда, потребує реконструкції не тільки заради покращення її утримання, а й для того, щоб підкреслити ті аспекти буддизму, які нині корисні для держави."
 flavor_lna.1.t:0 "Смарагдовий Будда"
 flavor_lna.1.d:0 "Брами міста [From.GetCapitalName] впали, залишивши відкритим шлях до святині Смарагдового Будди. Попри протести ченців, які доглядають за святинею, наші солдати захоплюють священний талісман і готують його до подорожі до міста [Root.Capital.GetCapitalName]. Там він буде вшанований і захищений більш гідними опікунами."
 flavor_lna.1.a:0 "[From.Owner.GetAdjective]і були не гідні навіть дивитися на нього."
 flavor_lna.2.t:0 "Крадіжка Смарагдового Будди"
 flavor_lna.2.d:0 "Лихо сталося, коли брами міста [emerald_buddha_province.GetName] впали, залишивши відкритим шлях до святині Смарагдового Будди. Попри протести ченців, які доглядають за святинею, ворожі солдати захоплюють священний талісман для сво[From.Monarch.GetMEndJeJi] блюзнірськ[From.Monarch.GetMEndOjiOgo] [From.Monarch.GetTitleOGO] і готуються перевезти його до міста [From.Capital.GetName]."
 flavor_lna.2.a:0 "Це велике приниження."
 estate_church_brahmins_at_court:0 "Брагмани при дворі"
 estate_church_brahmins_at_court_desc:0 "Хоча ми не дотримуємося індуїстської віри, все ж брагмани користуються почесним місцем у суспільстві та при дворі."
 estate_burghers_khmer_irrigation:0 "Передові методи поливу"
 estate_burghers_khmer_irrigation_desc:0 "Держава надає інфраструктуру та інструменти для використання одних із найсучасніших у світі технологій зрошення, що забезпечує швидке зростання населення через рясні запаси продовольства."
 estate_vaisyas_khmer_irrigation:0 "Передові методи поливу"
 estate_vaisyas_khmer_irrigation_desc:0 "Держава надає інфраструктуру та інструменти для використання одних із найсучасніших у світі технологій зрошення, що забезпечує швидке зростання населення через рясні запаси продовольства."
 estate_burghers_khmer_irrigation_effect_tooltip:0 "Кожна підконтрольна провінція, що виробляє §Yзерно§!, отримає:\nМісцева ціна розвитку: §G-10%§!"
 estate_burghers_khmer_irrigation_revoke_effect_tooltip:0 "Модифікатор §YПередові методи поливу§! буде прибраний з усіх підконтрольних провінцій."
 estate_burghers_khmer_irrigation_mod:0 "Передові методи поливу"
 desc_estate_burghers_khmer_irrigation_mod:0 "Держава надає інфраструктуру та інструменти для використання одних із найсучасніших у світі технологій зрошення, що забезпечує швидке зростання населення через рясні запаси продовольства."
 siamese_absolutism:0 "Чакраварті"
 siamese_absolutism_desc:0 "Монарх - це більше, ніж проста людина. Він є божественним сувереном, самим центром Всесвіту. Тільки через його посередництво у світі може бути мир і злагода."
 flavor_lna.3.t:0 "[Root.GetAdjective]ий абсолютизм"
 flavor_lna.3.d:0 "[Root.Monarch.GetTitle] - це набагато більше, ніж смертна людина. [Root.Monarch.GetSheHeCap] - це Чакраварті, божественне світло, що світить над людством, великий маяк, який веде нас до гармонії та просвітлення. Правління [Root.Monarch.GetTitleOGO] [Root.Monarch.GetName] має відчуватися у кожному куточку світу, щоб усі зажили в мирі та процвітанні."
 flavor_lna.3.a:0 "Ми привнесемо в цей світ порядок."
 flavor_lna.3.b:0 "Нинішній уряд нас цілком влаштовує."
 ming_crisis.10.t:0 "Потрясіння в Китаї"
 ming_crisis.10.d:0 "Династія Мін перебуває у кризі. Держава веде боротьбу за встановлення контролю над своєю власною територією, воєначальники збирають армії та борються за владу в усьому Китаї. Ми повинні запитати себе, чи гідна така неспокійна держава володіти Небесним мандатом, а отже, чи слід [Root.GetTagOMU] переглянути свої трибутарні відносини з Мін."
 ming_crisis.10.a:0 "Мін більше нам не потрібні."
 ming_crisis.10.b:1 "Ми стоятимо поруч з Імператором в місті [MNG.Capital.GetCapitalName]."
 ming_crisis.10.tt:0 "[Root.GetName] залишиться данником Мін"
 estate_church_karma_temples:0 "Чернецькі храми"
 estate_church_karma_temples_desc:0 "Ми повинні довірити догляд за священними буддійськими храмами ченцям."
 estate_church_karma_temples_tt:0 "§Y+3 карми§! за будівництво §Yхрама§!.\n§Y-3 карми§! за руйнування §Yхраму§!."
 estate_church_influence_temples:0 "Церковні святилища"
 estate_church_influence_temples_desc:0 "Ми повинні дати людям місце поклоніння, і показати Папі, наскільки набожний наш народ."
 estate_church_influence_temples_tt:0 "§Y+3 папського впливу§! за будівництво §Yцеркви§!.\n§Y-3 папського впливу§! за руйнування §Yцеркви§!."
 estate_burghers_tropical_mod:0 "Міське планування в тропіках"
 desc_estate_burghers_tropical_mod:0 "Маючи тисячолітній досвід, ми цілком здатні будувати величезні міста у себе на батьківщині, попри складності, пов'язані з кліматом."
 estate_burghers_tropical_nation:0 "Міське планування в тропіках"
 estate_burghers_tropical_nation_desc:0 "Маючи тисячолітній досвід, ми цілком здатні будувати величезні міста у себе на батьківщині, попри складності, пов'язані з кліматом."
 estate_burghers_tropical_effect_tooltip:0 "Кожна підконтрольна провінція з тропічним кліматом отримає:\nМісцева ціна розвитку: §G-5%§!\nПриріст поселенців у провінції: §G+10%§!"
 estate_burghers_tropical_revoke_effect_tooltip:0 "Кожна підконтрольна провінція з тропічним кліматом втратить:\nМісцева ціна розвитку: §G-5%§!\nПриріст поселенців у провінції: §G+10%§!"
 estate_church_lao_animism:0 "Толерантність до народних релігій"
 estate_church_lao_animism_desc:0 "Хоча це не відповідає нашій вірі, ми визнаємо, що багато хто в нашій країні продовжує дотримуватись стародавніх народних релігій."
 estate_church_lao_animism_effect_tooltip:0 "Кожна підконтрольна провінція з §Yанімістською§! вірою отримає:\nМісцева ефективність місіонерів: §R-100§!\nМісцевий вплив на релігійну єдність: §G-100%§!"
 estate_church_lao_animism_revoke_effect_tooltip:0 "Модифікатор §Y'Толерантність до народних релігій'§! буде прибраний з усіх підконтрольних провінцій з §Yдхармічною§! вірою."
 estate_church_lao_animism_mod:0 "Толерантність до народних релігій"
 desc_estate_church_lao_animism_mod:0 "Хоча це не відповідає нашій вірі, ми визнаємо, що багато хто в нашій країні продовжує дотримуватись стародавніх народних релігій."
 flavor_mlc.9.t:0 "Морська держава"
 flavor_mlc.9.desc:0 "Різноманітні народності Малайзії стають політично єдині в нашій швидко розширюваній державі. Вперше архіпелаг розвиває своєрідну національну свідомість, перетворюючи нас з більш ніж прославленого міста-держави з натовпом данників на єдину націю. Ці новий виток розвитку вимагає нас обдумати, як же ми назвемо нашу висхідну державу."
 flavor_mlc.9.a:0 "Ми відродимо імперію наших предків, Срівіджайю."
 flavor_mlc.9.b:0 "Маджапагіт славен і залишиться таким."
 flavor_mlc.9.c:0 "Усі, хто живе на островах Нусантара, стануть нам вірними."
 flavor_mlc.9.d:0 "Наша держава - батьківщина малайського народу; Малайя."
 SRIVIJAYA:0 "Шривіджая"
 SRIVIJAYA_ADJ:0 "Шривіджайськ"
 MAJAPAHIT_EMPIRE:0 "Імперія Мaджапагіт"
 MAJAPAHIT_EMPIRE_ADJ:0 "Мaджапагітськ"
 NUSANTARA:0 "Нусантара"
 NUSANTARA_ADJ:0 "Нусантарськ"
 siamese_revolution:0 "Сіамська революція"
 desc_siamese_revolution:1 "Напруженість між європейцями та місцевою владою загрожувала поглинути нашу націю, зараз вже все минуло."
 siamese_revolution_event_tt:0 "Налагодили контакт з європейськими торговцями."
 siamese_revolution_tt:0 "Є §Yєвропейською§! нацією та володіє однією провінцією на субконтиненті §YОст-Індія§!"
 siamese_revolution_religion_tt:0 "НЕ сповідає релігію §Y[Root.Religion.GetName]§!"
 siamese_revolution_progression_tt:0 "Має столицю у §YЄвропі§!"
 phetracha_coup_tt:0 "Досягти §Y10 відкритості§! (зараз: §Y[Root.siam_openness.GetValue]§!)"
 phetracha_arrested_tt:0 "Досягти §Y-10 реакціонізму§! (зараз: §Y[Root.siam_reactionism.GetValue]§!)"
 siam_openness:0 "Відкритість"
 siam_reactionism:0 "Реакціонізм"
 siamese_rev.1.t:0 "Сіамська революція"
 siamese_rev.1.d:1 "Хоча наші зв'язки із Заходом зміцнюються, чимало хто [Get_UV] [Root.GetTagDE] ставиться до чужоземців з підозрою. Їх побоювань багато; дехто вважає, що [siam_european_country.GetAdjective]і дипломати улещують нас, готуючись до вторгнення, в той час, як інші бачать в [siam_european_country.Religion.ReligionAdjectiveOGO] місіонерах загрозу нашій [Root.Religion.ReligionAdjective]ій вірі, тоді як торговці стурбовані тим, що наші угоди з європейцями утискають наші комерційні інтереси. Антиєвропейські настрої [Get_UV] [Root.GetTagDE] стрімко зростають, і в найближчому майбутньому ситуація може загостритися."
 siamese_rev.1.a:0 "Це дуже серйозне питання."
 siamese_rev.2.t:0 "Кінець Сіамської революції"
 siamese_rev.2.d:1 "Пил осів після швидкого і добре організованого перевороту Петрачі. Європейці були вигнані, а бунтівні елементи в палаці арештовані та страчені. Сьогодні ми відправили потужний сигнал як [Root.GetAdjective]ому народу, так і світу в цілому: ми не дозволимо [Root.GetTagOMU] потрапити під іноземний вплив."
 siamese_rev.2.d2:1 "Пил осів після швидкого арешту та страти Петрачі. Реакціонерів змусили замовкнути, а крамольні елементи в палаці були заарештовані та страчені. Сьогодні ми відправили потужний сигнал: держава [Root.GetName] відкрита для співпраці з іншими країнами, торгівлі та нових ідей."
 siamese_rev.2.a:0 "Наші проблеми закінчилися, поки що."
 opinion_siam_antiimperialist:0 "Антиімперіалістичний Сіам"
 opinion_open_siam:0 "Відкритий Сіам"
 siamese_rev.3.t:0 "Атака на [siam_foreign_missionary_country.GetAdjective]их місіонерів"
 siamese_rev.3.d:1 "[siam_foreign_missionary_country.Religion.GetName]і місіонери, що діють під [siam_foreign_missionary_country.GetName]им захистом, зазнали нападу з боку [siam_foreign_missionary_province.Religion.GetName]их людей з провінції [siam_foreign_missionary_province.GetName]. Місіонери закликають [Root.GetAdjective]ий уряд запропонувати їм захист від натовпу, щоб вони могли проповідувати, тоді як люди вимагають вигнання місіонерів, щоб вони могли спокійно сповідувати свою [siam_foreign_missionary_province.Religion.GetName]у віру."
 siamese_rev.3.a:0 "Ми повинні дозволити їм проповідувати."
 siamese_rev.3.b:0 "Вони становлять загрозу для [Root.Religion.ReligionAdjective]ої віри."
 EST_VAL_SIA_RESTRICTED_FOREIGN_MISSIONARIES:0 "Заборонили іноземних місіонерів"
 siam_allowed_misionaries:0 "Захистили місіонерів"
 siam_denied_misionaries:0 "Атакували місіонерів"
 siamese_rev.4.t:1 "Змовники в провінції [sia_noble_plot_province.GetName]"
 siamese_rev.4.d:0 "Наші інформатори повідомляють, що група місцевих шляхтичів у провінції [sia_noble_plot_province.GetName] змовилась вжити заходів проти зростального європейського впливу у своїй провінції та потенційно піти далі та викорінити іноземний вплив у палаці в місті [Root.Capital.GetName]."
 siamese_rev.4.a:0 "Ми мусимо розчавити змову ще в зародку."
 siamese_rev.4.b:0 "Ми підтримуватимо їх плани, таємно."
 EST_VAL_SIA_PROVOKED_NOBLES:0 "Спровокували дворян"
 EST_VAL_SIA_SUPPORTED_NOBLE_PLOTS:0 "Підтримали дворянські плани"
 siamese_rev.5.t:1 "[sia_european_aggressor_country.GetAdjective]а військова активність"
 siamese_rev.5.d:1 "Підозріла військова діяльність спостерігалася серед символічних [sia_european_aggressor_country.GetAdjective]их військ гарнізону, яким ми дозволили розміститися гарнізоном в нашій країні. Існує деяка обґрунтована підозра, що ці маневри вказують на майбутнє вторгнення, раптову атаку для швидкого захоплення палацу та встановлення [sia_european_aggressor_country.GetAdjective]ої влади. Можливо також, що ці дії нешкідливі."
 siamese_rev.5.a:0 "Ми не можемо нічого зробити."
 siamese_rev.5.b:1 "Негайно виженіть ці війська."
 opinion_sia_aggressive_acts:0 "Вигнали війська"
 siamese_rev.6.t:0 "Торгові угоди з державою [sia_european_embassy_country.GetName]"
 siamese_rev.6.d:1 "Посли з держави [sia_european_embassy_country.GetName] прибули до палацу, щоб укласти низку торгових угод, які, як вони стверджують, будуть взаємовигідними для обох наших країн. Більш скрупульозні радники [Root.Monarch.GetTitleOGO] припускають, що ці угоди є набагато більш односторонніми, ніж здається, але прийняття цих умов багато в чому поліпшило б відносини між нашими країнами."
 siamese_rev.6.a:0 "Ця угода вигідна нам обом."
 siamese_rev.6.b:1 "Ця угода образлива."
 opinion_sia_embassy_good:0 "Хороша угода"
 opinion_sia_embassy_bad:0 "Погана угода"
 siamese_rev.7.t:0 "Переворот Петрачі"
 siamese_rev.7.d:1 "Антиєвропейські настрої вибухнули по всій державі. Група дворян згуртувалася навколо людини на ім'я Петрача та влаштувала успішний переворот проти [Root.Monarch.GetTitleOGO]. Швидкість перевороту дозволила Петрачі здійснити раптову атаку на європейські гарнізони, розташовані в столиці, і негайно вигнати всіх європейських дипломатів з [Root.GetTagOGO]. Прихильники Петрачі оголосили його [Root.Monarch.GetTitleKYM], що, ймовірно, покладе початок ери відносної ізоляції для [Root.GetTagOGO]."
 siamese_rev.7.a:0 "Ми виженемо іноземців зі своїх земель."
 opinion_siam_isolationism:0 "Ізоляціонізм"
 siamese_rev.8.t:0 "Арешт Петрачі"
 siamese_rev.8.d:1 "Антиєвропейські настрої вибухнули по всій державі. Група дворян згуртувалася навколо людини на ім'я Петрача та безуспішно намагалася вчинити палацовий переворот проти [Root.Monarch.GetTitleOGO]. Прихильників перевороту оточено та заарештовано, а європейські дипломати, присутні в столиці, впевнені у своїй безпеці. Наступне, безумовно, стане ерою відкритості та розвитку для [Root.GetTagOGO]."
 siamese_rev.8.a:0 "Зрадників стратять на світанку."
 siamese_age_of_openness:0 "Епоха відкритості"
 desc_siamese_age_of_openness:0 "Наша країна зараз відкрита для світу та його нових впливів."
 siamese_rev.9.t:0 "Зовнішня політика [Root.Monarch.GetTitleOGO]"
 siamese_rev.9.d:2 "Збільшення присутності європейських торговців, дипломатів та армій у Східній Азії викликає велику стурбованість у [Root.Monarch.GetTitleOGO]. До цього часу відносини між ними та [Root.GetTagKYM] були обмеженими, і [narai_foreign_policy_country.GetName] запевнили нас, що вони прагнуть тільки торгувати з нашою нацією і дізнаватися про неї. [Root.Monarch.GetTitle] [Root.Monarch.GetName] та його радники мають над чим подумати."
 siam_rev.9.a:0 "Ми повинні бути обережними з цими іноземцями."
 siam_rev_can_start_tt:1 "§YСіамська революція§! може початися зараз."
 siamese_rev.10.t:0 "Можливість [From.Get_UV] [From.GetTagDE]"
 siamese_rev.10.d:0 "Наші дослідницькі експедиції [From.Get_UV] [From.GetTagDE] виявили ряд тактичних і політичних слабкостей в їхнього захисті, що робить їх уразливими для потенційної раптової атаки. Наші шпигуни та офіцери запевняють нас, що якщо ми завдамо удару найближчим часом, [From.GetAdjective]ої влади не буде іншого вибору, окрім як підкоритися нашому правлінню."
 siam_rev.10.a:0 "Можливість не чекає на непідготовлених."
 arrest_phetracha_decision_title:0 "Заарештувати Петрачу"
 arrest_phetracha_decision_desc:0 "Петрача становить небезпеку для країни, і його слід заарештувати заради нашого ж блага."
 phetracha_coup_decision_title:0 "Підтримати Петрачу"
 phetracha_coup_decision_desc:0 "Петрача має рацію, і ми повинні підтримати його справу за всяку ціну."
 arrest_phetracha_tt:0 "Петрача буде заарештований."
 majapahit.1.t:0 "Поява героя"
