l_ukrainian:
 theocracy.1.t:0 "Державі $COUNTRY$ потрібен спадкоємець"
 ideagroups.1.d:0 "Наша держава стрімко змінюється, вслід за нею міняється й наше суспільство. Якщо ми не заважатимемо цьому процесу, то незабаром це призведе до змін наших традицій і амбіцій."
 ideagroups.1.a:0 "Так, авжеж!"
 ideagroups.1.b:0 "Ні, ми не можемо відмовитися від нашого коріння."
 ideagroups.711.t:0 "Показати натиск"
 ideagroups.711.d:0 "Наша сильна схильність до наступу дає армії нашої країни відчуття сили, тому що атака це завжди найкраща форма захисту. Наші чоловіки йдуть безстрашно у бій, знаючи, що перемога буде на їхньому боці."
 ideagroups.711.a:0 "Йди з очей!"
 ideagroups.712.t:0 "Відправити до піхоти"
 ideagroups.712.d:0 "Іноді кавалеристи дивляться зверхньо на скромних піших солдат, але вони є основою будь-якої армії. Потужна атака піхоти може виявитися майже настільки ж руйнівною, як і наступ кавалерії. Наша піхота настільки могутня, що виправдовує своє утримання та підвищену увагу до неї."
 ideagroups.712.a:0 "Ви найкращі!"
 ideagroups.713.t:0 "Відправити до кавалерії"
 ideagroups.713.d:0 "Наші вершники мають навички та здатність бути вирішальною силою у бою, як це було за часів Олександра Македонського. В останні часи кавалерія зібрала найкраще з армії, і вони завжди готові піти в атаку. Вони пишаються цим і насолоджуються увагою, яку отримують."
 ideagroups.713.a:0 "Заряджай!"
 institution_events.2.t:0 "Ренесанс!"
 institution_events.2.d:0 "Починаючи з ХIV століття, заможні та впливові громадяни італійських міст-держав протегували художникам і вченим, охочим вивчати культуру своїх предків – стародавніх римлян і греків. Як культурний рух, Ренесанс вже охоплює більшу частину регіону і глибоко проник у літературу, мистецтво, філософію і музику. Вчені-гуманісти теж займаються аналізом суспільства, в якому вони живуть, порівнюючи його з ідеалами класичних філософів. На рубежі $YEAR$ року гуманізм епохи Відродження виріс у цілий рух, готовий поширитися на всі аспекти суспільства. Новий ідеал – як серед правителів, так і серед їхніх підданих, поширюється настільки швидко, наскільки першодрукарі здатні поширювати копії цих новітніх ідей. Справжній гуманіст епохи Ренесансу є експертом з усього – від політики і філософії, до мистецтва, тлумачення різних писань, музики та архітектури. Ренесанс готовий змінювати світ до кращої відповідності класичним ідеалам."
 institution_events.2.a:0 "Це все змінює..."
 institution_events.2.a.tt:1 "§YЗапровадження§! інституції §YРенесанс§! матиме життєво важливе значення для подальшого розвитку §Yтехнологій§!."
 institution_events.200.d:0 "Починаючи з ХIV століття, заможні та впливові громадяни італійських міст-держав протегували художникам і вченим, охочим вивчати культуру своїх предків – стародавніх римлян і греків. Як культурний рух, Ренесанс вже охоплює більшу частину регіону і глибоко проник у літературу, мистецтво, філософію і музику. Вчені-гуманісти теж займаються аналізом суспільства, в якому вони живуть, порівнюючи його з ідеалами класичних філософів. На рубежі $YEAR$ року гуманізм епохи Відродження виріс у цілий рух, готовий поширитися на всі аспекти суспільства. Новий ідеал – як серед правителів, так і серед їхніх підданих, поширюється настільки швидко, наскільки першодрукарі здатні поширювати копії цих новітніх ідей. Справжній гуманіст епохи Ренесансу є експертом з усього – від політики і філософії, до мистецтва, тлумачення різних писань, музики та архітектури. Ренесанс готовий змінювати світ до кращої відповідності класичним ідеалам."
 institution_events.201.d:0 "Мандрівники розповідають про велике відродження стародавніх ідеалів у далеких землях. Важко ставитися до подібних чуток серйозно, хоча, якщо їм вірити, мислителі цього 'відродження' розкрили безліч великих таємниць."
 institution_events.3.t:0 "Зародження колоніалізму"
 institution_events.3.d:1 "Відкриття Нового Світу провістило нову еру не тільки для колонізаторів і колонізованих, а й призвело до поширення нових матеріалів і технологій, а також до усвідомлення справжньої неосяжності світу. У міру того як тварини, види сільськогосподарських культур, срібло і хвороби поширюються через Атлантику, були зроблені перші кроки до дійсно глобальної економіки. З картографуванням та документуванням відомостей про заморські землі та народи, відкриття заморських цивілізацій додало нових барв як ідеям, так і релігійним та філософським дебатам. Великі уми відчувають потребу у переосмисленні колишніх постулатів і від столичного міста [institution_origin.GetCapitalName] й до Фатехпур-Сікрі сутність світу тепер питання дискусійне."
 institution_events.3.da:2 "[institution_origin.Owner.GetAdjective]е відкриття Нового Світу провістило нову еру не тільки для колонізаторів і колонізованих, але й цілого світу як старого, так і нового. Зустріч старого світу і нового привела до поширення ресурсів і технологічних досягнень, а також до усвідомленого розуміння справжньої неосяжності світу. Тварини, сільськогосподарські культури, срібло і хвороби поширюються по всьому Тихому океану, і [institution_origin.Owner.GovernmentName] [institution_origin.Owner.GetTagOGO] стає моделлю дійсно глобалізованої економіки. По всій Азії та за її межами знать і світські адміністратори починають сперечатися про те, яким чином території Нового Світу можуть бути включені в систему державного управління і як найкращим чином просвітити корінні народи Нового Світу за допомогою [institution_origin.Owner.Religion.ReligionAdjectiveKOJI] філософії. Від столичного міста [institution_origin.GetCapitalName] й до Сеути майбутнє всього світу тепер питання дискусійне."
 institution_events.3.dc:2 "[institution_origin.Owner.GetAdjective]е відкриття Нового Світу провістило нову еру не тільки для колонізаторів і колонізованих, але й цілого світу як старого, так і нового. Зустріч старого світу і нового привела до поширення ресурсів і технологічних досягнень, а також до усвідомленого розуміння справжньої неосяжності світу. Тварини, сільськогосподарські культури, срібло і хвороби поширюються по всьому Тихому океану, і [institution_origin.Owner.GovernmentName] [institution_origin.Owner.GetTagOGO] стає моделлю дійсно глобалізованої економіки. Вже зараз конфуціанські бюрократи обговорюють, як найкраще включити території Нового Світу до стародавнього [institution_origin.Owner.GetAdjective]ого уряду і яким чином культура і релігійна практика корінних народів можуть бути інтегровані в їхню державу. Від столичного міста [institution_origin.GetCapitalName] й до Сеути майбутнє всього світу тепер питання дискусійне."
 institution_events.3.djap1:2 "[institution_origin.Owner.GetAjiSmall]е відкриття Нового Світу провістило нову еру не тільки для колонізаторів і колонізованих, але й цілого світу як старого, так і нового. Зустріч старого світу і нового привела до поширення ресурсів і технологічних досягнень, а також до усвідомленого розуміння справжньої неосяжності світу. Тварини, види сільськогосподарських культур, срібло і хвороби поширюються по всьому Тихому океану, і [institution_origin.Owner.GovernmentName] [institution_origin.Owner.GetTagOGO] стає моделлю дійсно глобалізованої економіки. Вже зараз [institution_origin.Owner.GetAdjective]і чиновники картографують землі Нового Світу, на які вони планують претендувати від імені Імператора, документуючи дивних місцевих жителів цього світу та обговорюючи як їхні духовні і культурні практики можуть найкраще послужити [institution_origin.Owner.Monarch.GetTitleOMU]. Від столичного міста [institution_origin.GetCapitalName] й до Сеути сутність світу тепер питання дискусійне."
 institution_events.3.djap2:2 "[institution_origin.Owner.GetAjiSmall]е відкриття Нового Світу провістило нову еру не тільки для колонізаторів і колонізованих, але й цілого світу як старого, так і нового. Зустріч старого світу і нового привела до поширення ресурсів і технологічних досягнень, а також до усвідомленого розуміння справжньої неосяжності світу. Тварини, види сільськогосподарських культур, срібло і хвороби поширюються по всьому Тихому океану, і [institution_origin.Owner.GovernmentName] [institution_origin.Owner.GetTagOGO] стає моделлю дійсно глобалізованої економіки. Вже зараз [institution_origin.Owner.GetAdjective]і чиновники картографують землі Нового Світу, на які вони планують претендувати від свого імені, вільного від тиранії імператора, документуючи дивних місцевих жителів нового світу та обговорюючи як їхні духовні і культурні практики можуть найкраще послужити [institution_origin.Owner.Monarch.GetTitleOMU]. Від столичного міста [institution_origin.GetCapitalName] й до Сеути сутність світу тепер питання дискусійне."
 institution_events.3.dpoly:2 "[institution_origin.Owner.GetAdjective]е відкриття Нового Світу привернуло всі погляди до Полінезії та її океанічних людей. Слідуючи за Рангою, коли він підніймається по лінії горизонту, [institution_origin.Owner.GetAdjective]і дослідники виявили набагато більше, ніж просто острів – цілий новий континент, багатий родючими землями та можливостями. Зустріч старого світу і нового привела до поширення ресурсів і технологічних досягнень, а також до усвідомленого розуміння справжньої неосяжності світу. Тварини, сільськогосподарські культури, срібло і хвороби поширюються по всьому Тихому океану, і [institution_origin.Owner.GovernmentName] [institution_origin.Owner.GetTagOGO] стає моделлю дійсно глобалізованої економіки. Переселенці з усього полінезійського трикутника починають слідувати стежками, прокладеними зірками та звірами, щоби пройти власним шляхом до нового світу й прожити своє життя серед корінних народів цих нових земель. Від столичного міста [institution_origin.GetCapitalName] й до Антананаріву майбутнє всього світу тепер питання дискусійне."
 institution_events.3.a:0 "Це все змінює..."
 institution_events.3.a.tt:1 "§YЗапровадження§! інституції §YКолоніалізм§! матиме життєво важливе значення для подальшого розвитку §Yтехнологій§!."
 institution_events.300.d:1 "Відкриття Нового Світу провістило нову еру не тільки для колонізаторів і колонізованих, а й призвело до поширення нових матеріалів і технологій, а також до усвідомлення справжньої неосяжності світу. У міру того як тварини, сільськогосподарські культури, срібло і хвороби поширюються через Атлантику, було зроблено перші кроки до дійсно глобальної економіки. З картографуванням та документуванням відомостей про заморські землі та народи, відкриття заморських цивілізацій додало нових барв як ідеям, так і релігійним та філософським дебатам. Великі уми відчувають потребу в переосмисленні колишніх постулатів і від столичного міста [institution_origin.GetCapitalName] й до Фатехпур-Сікрі сутність світу тепер питання дискусійне."
 institution_events.301.d:0 "Купці повідомляють про збільшення напливу абсолютно незнайомих товарів. Ці екзотичні товари привозять мандрівники, які стверджують, що зустрічали дивних людей з далеких земель. Зараз важко сказати, що робити далі, але ці люди переконані, що наш світ змінюється докорінно і що ці незнайомці не несуть нічого доброго."
 institution_events.300.db:1 "Відкриття Нового Світу провістило нову еру не тільки для колонізаторів і колонізованих, а й призвело до поширення нових матеріалів і технологій, а також до усвідомлення справжньої неосяжності світу. У міру того як тварини, сільськогосподарські культури, срібло і хвороби поширюються через Атлантику, було зроблено перші кроки до дійсно глобальної економіки. З картографуванням та документуванням відомостей про заморські землі та народи, відкриття заморських цивілізацій додало нових барв як ідеям, так і релігійним та філософським дебатам. Великі уми відчувають потребу в переосмисленні колишніх постулатів і від столичного міста [institution_origin.GetCapitalName] й до Фатехпур-Сікрі сутність світу тепер питання дискусійне."
 institution_events.4.t:0 "Зростання друкарської промисловості"
 institution_events.4.d:1 "Можливість масового видавництва друкованих текстів зробить справжню революцію, як у поширенні інформації, так і у ранньо-модерновому суспільстві в цілому. Вперше винайдене людьми епохи Ренесансу, такими як венеціанський друкар Альдус Манутіус, нове мистецтво підживило Ренесанс, зробивши широко доступними переклади класиків. Пізніше Реформація отримає з цього великий зиск завдяки можливості поширення критичних публікацій та перекладів священних писань.\n\nТепер друкування остаточно оформилося в технологію і поширилося по всьому континенту [institution_origin.GetContinentName], сотні й тисячі копій книг на найрізноманітніші теми – від релігійних і політичних памфлетів, до посібників з поведінки і наукових трактатів – знаходиться в обігу на континенті. Оскільки друкарні стають все поширенішим явищем, правителям стало важко стримувати нову технологію, бо порівняно прості засоби виробництва дозволяють легко обходити цензуру шляхом переміщення бізнесу за кордон або просто приховати вміст зміною назви."
 institution_events.4.a:0 "Це все змінює..."
 institution_events.4.a.tt:1 "§YЗапровадження§! інституції §YДрукарський прес§! матиме життєво важливе значення для подальшого розвитку §Yтехнологій§!."
 institution_events.400.d:1 "Можливість масового видавництва друкованих текстів зробить справжню революцію, як у поширенні інформації, так і у ранньо-модерновому суспільстві в цілому. Вперше винайдене людьми епохи Ренесансу, такими як венеціанський друкар Альдус Манутіус, нове мистецтво підживило Ренесанс, зробивши широко доступними переклади класиків. Пізніше Реформація отримає великий зиск завдяки можливості поширення критичних публікацій та перекладів священних писань.\n\nТепер друкування остаточно оформилося у технологію і поширилося по всьому континенту [institution_origin.GetContinentName], сотні й тисячі копій книг на найрізноманітніші теми – від релігійних і політичних памфлетів, до посібників з поведінки і наукових трактатів – знаходиться в обігу на континенті. Оскільки друкарні стають все більш поширеним явищем, правителям стало важко стримувати нову технологію, бо порівняно прості засоби виробництва дозволяють легко обходити цензуру шляхом переміщення бізнесу за кордон або просто приховати вміст зміною назви."
 institution_events.401.d:0 "До нас дійшли чутки з далеких земель, що там масово видають друковані тексти величезними, досі не баченими обсягами. Якщо вірити інформатору, в тих землях це змінило науковий і політичний світ."
 institution_events.5.t:0 "Глобальна торгівля"
 institution_events.5.d:0 "Товари перевозили через континенти з давніх часів. Але раніше вони були обмежені певними маршрутами. Так промислові товари з Індії та Китаю знайшли свій шлях через Індійський океан й уздовж Шовкового шляху. Зараз торгівля все більше стає частиною великої світової мережі. З відкриттям Америк, морських шляхів навколо Африки і перетином Тихого океану, локальні торгові мережі об'єдналися в одну взаємопов'язану мережу, що охоплює весь світ.\n\nСрібло з шахт в Андах, пакується і доставляється через Європу аж до Китаю та Індії. Залізо, яке видобувають і кують у Скандинавії, продають у Західній Африці англійські купці, інші роблять статки просто розподіляючи тканину і спеції в Південно-Східній Азії. Торговці з Індії інвестують у майбутні торговельні підприємства Європи. Можливо, ще рано говорити про вже справжню глобальну економіку, але, безумовно, перше насіння вже посіяне."
 institution_events.5.a.tt:1 "§YЗапровадження§! інституції §YГлобальна торгівля§! матиме життєво важливе значення для подальшого розвитку §Yтехнологій§!."
 institution_events.5.a:0 "Це все змінює..."
 institution_events.500.d:0 "Товари перевозили через континенти з давніх часів. Але раніше вони були обмежені певними маршрутами. Так промислові товари з Індії та Китаю знайшли свій шлях через Індійський океан й уздовж Шовкового шляху. Зараз торгівля все більше стає частиною великої світової мережі. З відкриттям Америк, морських шляхів навколо Африки і перетином Тихого океану, локальні торгові мережі об'єдналися в одну взаємопов'язану мережу, що охоплює весь світ.\n\nСрібло із шахт в Андах, пакується і доставляється через Європу аж до Китаю та Індії. Залізо, яке видобувають і кують у Скандинавії, продають у Західній Африці англійські купці, інші роблять статки просто розподіляючи тканину і спеції в Південно-Східній Азії. Торговці з Індії інвестують у майбутні торговельні підприємства Європи. Можливо ще рано говорити про вже справжню глобальну економіку, але, безумовно, перше насіння вже посіяне."
 institution_events.501.d:0 "Наші далекосяжні торгові контакти стали приносити все більше і більше екзотичних товарів на наші ринки. Вони стверджують, що це відбувається тому, що їхні контакти з іншими землями збільшилися з декількох раз на рік до майже постійного зв'язку з різними торговими мережами і фірмами. Деякі з них навіть запропонували нам інвестувати у свої майбутні поставки, що є, як вони стверджують, звичайною справою в їхніх далеких краях."
 institution_events.6.t:0 "Мануфактури"
 institution_events.6.d:0 "Паралельно з розвитком ряду технологій протягом ХVI-ХVII століть, виробництво таких категорій товарів як залізо і тканини збільшилось настільки, що це призвело до появи нової форми організації праці. Створюючи мануфактури, часто за межами міст, новостворений клас капіталістів отримує можливість обійти як старовинні закони гільдій, що гальмують масове виробництво, так і першими розробити різноманітні шляхи підвищення ефективності виробництва за рахунок організації та спеціалізації праці в одному місці. Передвісники майбутньої індустріалізації мають можливість підвищити випуск продукції за рахунок полегшення доступу до сировини і масовим залученням трудових ресурсів замість надмірних вкладень у нове обладнання. Сама по собі це величезна зміна в усталених порядках, але тим часом, спільно з новими технологічними досягненнями, ця нова модель призведе до революційних змін у суспільстві."
 institution_events.6.a.tt:1 "§YЗапровадження§! інституції §YМануфактури§! матиме життєво важливе значення для подальшого розвитку §Yтехнологій§!."
 institution_events.6.a:0 "Це все змінює..."
 institution_events.600.d:0 "Паралельно з розвитком ряду технологій протягом ХVI-ХVII століть виробництво таких категорій товарів як залізо і тканини збільшилось настільки, що це призвело до появи нової форми організації праці. Створюючи мануфактури, часто за межами міст, новостворений клас капіталістів отримує можливість обійти як старовинні закони гільдій, що гальмують масове виробництво, так і першими розробити різноманітні шляхи підвищення ефективності виробництва за рахунок організації та спеціалізації праці в одному місці. Передвісники майбутньої індустріалізації мають можливість підвищити випуск продукції за рахунок полегшення доступу до сировини і масовим залученням трудових ресурсів, замість надмірних вкладень у нове обладнання. Сама по собі це величезна зміна в усталених порядках, але тим часом, спільно з новими технологічними досягненнями, ця нова модель призведе до революційних змін у суспільстві."
 institution_events.601.d:0 "Торговці повідомляють про наплив величезної кількості іноземних товарів на наших ринках. Місце їхнього походження невідоме, але очевидно, що виробництво вдосконалених товарів десь значно зросло."
 institution_events.7.t:0 "Просвітництво"
 institution_events.7.d:0 "Останнє століття було відзначено поширенням ідей раціоналізму та емпіризму серед найвидатніших умів епохи. У листах, публікаціях та кав’ярнях королі, вчені, філософи та літератори дискутують про переваги загальної терпимості, наукових методах і поширення ідей Просвітництва серед усього людства. Від імені університетів і дворів освічених монархів споряджаються у мандри експедиції для всеосяжного дослідження природи і відкриття законів, які керують світобудовою. Інші дискутують про закони, які керують суспільством і намагаються виділити поняття Прав Людини. У столичному місті [From.Capital.GetCapitalName] розпочався колосальний проект зі створення великої енциклопедії, або повної збірки рослин, тварин і грибів, які могли б послужити усьому людству. Спалахнуло світло розсудливості і причинності, і ентузіасти не заспокояться, поки не донесуть його до всіх куточків землі."
 institution_events.7.a.tt:1 "§YЗапровадження§! інституції §YПросвітництво§! матиме життєво важливе значення для подальшого розвитку §Yтехнологій§!."
 institution_events.7.a:0 "Це все змінює..."
 institution_events.700.d:0 "Останнє століття було відзначено поширенням ідей раціоналізму та емпіризму серед найвидатніших умів епохи. У листах, публікаціях та кав’ярнях королі, вчені, філософи та літератори дискутують про переваги загальної терпимості, наукових методах і поширення ідей Просвітництва серед усього людства. Від імені університетів і дворів освічених монархів споряджаються у мандри експедиції для всеосяжного дослідження природи й відкриття законів, які керують світобудовою. Інші дискутують про закони, які керують суспільством і намагаються виділити поняття Прав Людини. У [From.Capital.GetCapitalName] розпочався колосальний проект зі створення великої енциклопедії, або повної збірки рослин, тварин і грибів, які могли б послужити усьому людству. Спалахнуло світло розсудливості і причинності, і ентузіасти не заспокояться, поки не донесуть його до всіх куточків землі."
 institution_events.701.d:0 "Дивні експедиції людей у напудрених перуках почали з'являтися на наших кордонах. Цих мандрівників більше цікавлять наші рослини, тварини і навіть підлеглі, ніж [Root.Monarch.GetTitleKHTO], торговці, або наші багатства. Наші інформатори кажуть, що ці люди вважають себе носіями якогось, безумовно безглуздого, 'Просвітництва'..."
 institution_events.8.t:0 "Виклик військовим елітам"
 institution_events.8.d:1 "З часом нам вдалося зміцнити владу [Root.Monarch.GetTitleOGO] над провінціями. Це означає, що тепер влада місцевих авторитетів і дрібних начальників під загрозою. Зазвичай їх легко задобрити, але в провінції [feudalism_province.GetName] може знадобитися використання сили, щоб нагадати іншим про наше право на владу."
 institution_events.8.a:0 "Розчавити їх!"
 institution_events.8.b:0 "Нам потрібна їхня підтримка."
 institution_events.9.t:0 "Зростання впливу міських еліт"
 institution_events.9.d:0 "Не дивлячись на те, що багаті міста не мають формального права голосу в нашому уряді, у них є багато інших можливостей для впливу. У деяких випадках міста можуть навіть об'єднатися, щоб ще більше збільшити свою владу над провінцією. Лідери однієї з таких конгломерацій в провінції [urban_province.GetName] недавно звернулися до нас з проханням офіційно оформити деякі способи, якими вони контролюють провінцію. Домовившись з містами, ми отримаємо набагато міцнішу систему управління, але ми, швидше за все, втратимо підтримку місцевих військових."
 institution_events.9.a:0 "Чудово."
 institution_events.9.b:0 "Про це не може бути й мови."
 institution_events.10.t:0 "Недолік бюрократії"
 institution_events.10.d:0 "Іноді прогрес йде швідше, чим далі від центру влади, де старі еліти занадто вкоренилися, щоб бажати змін. З появою нових державних інституцій поза столицею, жителі в провінції [feudalism_province.GetName] стають все більш роздратовані елітою зі столичного міста [Root.Owner.Capital.GetCapitalName], яка перешкоджає появі нових державних інституцій."
 institution_events.10.a:0 "Ми не можемо квапити події."
 institution_events.10.b:0 "Часи змінюються."
 institution_events.11.t:0 "Спад неформальної влади"
 institution_events.11.d:0 "Завдяки ефективній політиці та простому поділу влади, які досить вкоренилися, щоб сприяти зростанню державних установ. Згодом наші державні відділення прогресували від простої демонстрації влади до послідовного управління."
