l_ukrainian:
 ARMY_PROFESSIONALISM_VALUE:0 "Професіоналізм армії: $VALUE|Y%2$"
 train_horsemanship_modifier:0 "Навчання верховій їзді"
 desc_train_horsemanship_modifier:0 "Мало хто може похвалитися такими хорошими наїзниками як у нас, і мало у кого є такі надійні і придатні для війни коні. Ми повинні постійно підтримувати наше мистецтво верхової їзди на належному рівні, влаштовуючи змагання, тренування, невеликі набіги, і, безпосередньо бої."
 promote_culture_in_government_modifier:0 "Просування культури в уряді"
 desc_promote_culture_in_government_modifier:0 "Наш мудрий султан вирішив просувати тих, хто підтримував його в боротьбі за престолонаслідування. Завдяки його мудрій політиці процвітатиме весь регіон."
 seize_clerical_holdings_modifier:0 "Захоплена власність духовенства"
 desc_seize_clerical_holdings_modifier:0 "У державі безліч благодійних пожертвувань і клерикальної нерухомості було надано нашими попередниками виходячи з неправильних міркувань. Ми повинні скоротити корупцію і повернути майно духовенства державі, першорядному вартовому добра і зла в нашій державі."
 invite_minorities_modifier:0 "Запрошені меншини"
 desc_invite_minorities_modifier:0 "Створивши безпечне місце для наших братів по вірі, ми запросили їх усіх оселитися на наших землях. Тут вони можуть почати нове життя і внести вклад у процвітання нашої держави."
 ideagroups.111.b:0 "Спробуємо зробити все можливе для втілення цих ідей у реальність!"
 army_professionalism_events.1.t:0 "Пограбування міста [From.GetCapitalName]"
 army_professionalism_events.1.d:0 "Традиційно армії повинні були забезпечувати себе самі, грабуючи землі на шляху свого просування. Найчастіше це єдиний для солдатів спосіб вижити у воєнний час, оскільки [Root.GovernmentName] далеко не завжди може вчасно виплачувати платню з державної скарбниці. Фактично ж, виплачуючи платню заднім числом, багато хто також уникає необхідності платити полеглим.\nЗ падінням міста [From.GetCapitalName] очікувалося, що нашим солдатам, спраглим до поживи, буде дозволено розграбувати місто. Однак, повною несподіванкою стало повне зруйнування міста. Відмовившись виконувати накази, наші люди накинулися на безпомічних городян, творячи огидні речі й зруйнували всю область на довгі роки."
 army_professionalism_events.1.a:0 "Ми повинні покарати злочинців!"
 army_professionalism_events.1.b:0 "Нам потрібні продуманий порядок виплати платні і жорсткіша дисципліна!"
 army_professionalism_events.1.c:0 "Такі правила ведення війни."
 army_professionalism_events.2.t:0 "Місто [Root.GetCapitalName] розграбоване!"
 army_professionalism_events.2.d:0 "З падінням міста [Root.GetCapitalName], армії держави [From.GetName] спустошили місто і прилеглі сільські райони."
 army_professionalism_events.2.a:0 "Варвари!"
 army_professionalism_events.3.t:0 "Пограбування міста [Root.GetCapitalName]"
 army_professionalism_events.3.d:0 "Коли місто [Root.GetCapitalName] потрапило в руки ворога, [From.GetAdjective]і війська кілька днів його грабували. Тліючі всередині міських стін руїни – це все, що залишилося від колись квітучого міста, а вцілілі шукають притулку якнайдалі від цього згарища."
 army_professionalism_events.3.a:0 "Наші люди ніколи не забудуть звірства держави [From.GetName]!"
 army_professionalism_events.4.t:0 "Затримка заробітної плати"
 army_professionalism_events.4.d:0 "Кампанія в державі [enemy_country.GetName] зіткнулася із серйозними логістичними труднощами. Наближається час виплат, і стає абсолютно ясно, що ми не зможемо роздати платню всьому війську, тому що гроші просто не зможуть дістатися до них вчасно. Наші генерали звинувачують у всьому постійні ворожі набіги на обози і наполягають, що у них було сплановано, але зараз цю проблему буде вирішувати вже [Root.Monarch.GetName].\nЯкщо ми роздамо платню лише частині військ, багато хто, безсумнівно, дезертує.\nМи можемо не платити взагалі нікому, наказавши їм годуватися з землі, по якій вони проходять, але це, швидше за все, призведе до розорення всього регіону."
 army_professionalism_events.4.a:0 "Ми повинні виплатити платню елітним військам"
 army_professionalism_events.4.b:0 "Хай вони живуть з землі"
 army_professionalism_events.5.t:0 "Багато роботи для солдата"
 army_professionalism_events.5.d:0 "Тривалий мирний час і зміни в економіці призвели до того, що багато хто з наших найманців вважає недостатніми отримані ними пенсії. Все більше з них змінюють рід занять, стаючи власниками магазинів або майстерень у своїх рідних містах.\nХоча це може стимулювати місцеву економіку, це також означає, що ці солдати більше не доглядають і не практикуються зі зброєю, яку ми їм видали. Щоб припинити подібне нам доведеться істотно збільшити виплати."
 army_professionalism_events.5.a:0 "Не можна дозволити їм займатися іншими справами."
 army_professionalism_events.5.b:0 "Ми це дозволимо, поки що."
 army_professionalism_events.6.t:0 "Іноземні таланти"
 army_professionalism_events.6.d:0 "Наші військові інструктори в захопленні від [professional_country.GetAdjective]ого війська та методів, які вони застосовують для організації армійської рутини і занять. Не ми одні звернули на них увагу, і [professional_country.GetAdjective]і офіцери мають попит у багатьох державах. Звичайно, [professional_country.GetStateForm] [professional_country.GetName] не шанує офіцерів, які шукають роботу закордоном, і не схвалить наші спроби заманити до себе їхніх підданих.\nОднак, це зовсім не означає, що немає людей, які були б зацікавлені можливістю кар'єрного росту, якщо воно буде того варте."
 army_professionalism_events.6.a:0 "Найняти [professional_country.GetAdjective]их офіцерів."
 army_professionalism_events.6.b:0 "Продовжимо покладатися на своїх співвітчизників."
 army_professionalism_events.7.t:0 "Проникнення в державу [From.GetName]"
 army_professionalism_events.7.d:0 "Військовий професіоналізм наших відставних офіцерів робить їх дуже потрібними в інших країнах регіону і змушує залишати нашу країну. Вони мають такий попит, що наймачі навіть не спромагаються належним чином перевірити найнятих перебіжчиків.\nНаш майстер-шпигун доповідає, що нам вдалося впровадити кілька агентів на службу, яку пропонує [From.GetStateForm] [From.GetName]."
 army_professionalism_events.7.a:0 "Чудово..."
 army_professionalism_events.8.t:0 "Військові ігри"
 army_professionalism_events.8.d:0 "Наші генерали попросили нас виділити кошти для проведення масштабних військових польових навчань, покликаних реконструювати одну з найбільших битв часів [Root.GetOldEra]. Цей захід буде досить дорогим і займе багато часу, але вони наполягають, що він дозволить їм поглянути на наші війська з іншої перспективи, і це буде гарною можливістю потренувати війська а також, можливо, налякати наших сусідів."
 army_professionalism_events.8.a:0 "Дозволити їм відтворити битву."
 army_professionalism_events.8.b:0 "Ми незабаром влаштуємо їм справжню війну, щоб перевірити свої теорії."
 army_professionalism_events.9.t:0 "Приватні підрядники"
 army_professionalism_events.9.d:0 "В силу відсутності відповідних структур, чимало військ покладаються на приватних підрядників для забезпечення всім – від спорядження – до обмундирування. Зазвичай ці підприємці отримують заздалегідь суму, яку вони можуть потім використовувати для забезпечення потреб армії в найкоротші терміни. Найчастіше така система дозволяє своєчасно задовольняти швидко мінливі потреби військ під час кампанії, але є й ті, хто зловживає цим.\nУ міру просування наших військ углиб земель держави [enemy_country.GetName], ростуть повідомлення про корупцію і змови між нашими інтендантами і місцевими підприємцями. Для збереження ефективності ми повинні припинити подібну практику, але при цьому в короткостроковій перспективі є ризик ще більше погіршити ситуацію боротьбою з корупцією."
 army_professionalism_events.9.a:0 "Позбутися гнилі!"
 army_professionalism_events.9.b:0 "Нам доведеться залишити все як є."
 army_professionalism_events.10.t:0 "Військова кар'єра"
 army_professionalism_events.10.d:0 "З розвитком професійної армії все більше можливостей кар'єрного росту відкривається для талановитих і амбіційних. Однак, представники старовинного стану [Root.GetNoblesReplacementForOtherGovernments], все ще очікують, що саме їм дістануться найвигідніші посади, в силу традицій і з поваги до багатовікової служби їхніх сімей, для яких [Root.GetStateForm] понад усе.\nДеякі високопоставлені офіцери просять нас надати більше можливостей для зростання здатним людям, тоді як інші люто цьому опираються і стверджують, що тільки кров служить гарантією особистих якостей."
 army_professionalism_events.10.a:0 "Ми повинні зберегти давні традиції нашого офіцерського корпусу."
 army_professionalism_events.10.b:0 "Ми можемо звільнити місце для новачків на вищих щаблях ієрархії."
 army_professionalism_events.11.t:0 "Честь мундира"
 army_professionalism_events.11.d:0 "Навантаження, яким армійське життя піддає людей, у сприятливих умовах можуть породити дух приналежності та єдності, який зміцнює ряди військ. Під час недавнього конфлікту з державою [enemy_country.GetName], ми помітили явні ознаки того, що в наші війська сформували міцні вузи вірності та обов'язку, яку в них викликає [Root.GetStateForm] [Root.GetName], хоча всього кілька років тому подібне було складно навіть уявити."
 army_professionalism_events.11.a:0 "Цим солдати [Root.GetAdjective]ої армії відрізняються від усіх інших."
 army_professionalism_events.12.t:0 "Брак офіцерів"
 army_professionalism_events.12.d:0 "Щоб зберегти ефективність численної професійної армії, потрібна достатня кількість навчених офіцерів, здатних виконувати накази і волю, яку має [Root.GetStateForm]. Однак, кількість наявних у нас навчених офіцерів не задовольняє зростаючу в них потребу.\nЗі збільшенням вимог до якості підготовки нових офіцерів, збільшився і час для навчання, а вербувати їх стало все складніше."
 army_professionalism_events.12.a:0 "Скоротити термін підготовки."
 army_professionalism_events.12.b:0 "Збільшити набір."
 army_professionalism_events.13.t:0 "Місцеві ополченці"
 army_professionalism_events.13.d:0 "Багато військових обов'язків виконуються не професійними військами, якими володіє [Root.GetStateForm], а місцевим ополченням, що базується поруч з містами, замками і фортецями в різних частинах країни. Ополченці частенько краще знають місцевість і за прийнятну винагороду служать у гарнізонах, розвідці, або збирають відомості, але ступінь їхньої підготовки до військової служби, м'яко кажучи, різниться.\nНадійшла пропозиція відправити професійних солдатів хоча б для мінімального навчання всіх ополченців у державі, а також для скорочення залежності від них під час проведення операцій у більшості районів. За словами наших генералів, це сприятиме зростанню професіоналізму та зробить нас менш уразливими перед непідконтрольними нам подіями. Але, швидше за все, нам також доведеться розпустити значну частину резервістів."
 army_professionalism_events.13.a:0 "Нам потрібні ополченці."
 army_professionalism_events.13.b:0 "Не варто покладатися на здібності місцевих жителів."
 army_professionalism_events.14.t:0 "Вогні промисловості"
 army_professionalism_events.14.d:0 "Зростаючі потреби нашої професійної армії вплинули на місцевих підприємців у місті [Root.GetCapitalName]. Мануфактури, як у самому місті, так і за його межами, ледве можуть впоратися зі зростаючим попитом, і тепер інвестори і робочі стікаються з усієї країни в провінцію [Root.GetName] для розширення діяльності."
 army_professionalism_events.14.a:0 "Ливарні заводи міста [Root.GetCapitalName] забезпечать нашу країну!"
 army_professionalism_events.15.t:0 "Зростання полкових міст"
 army_professionalism_events.15.d:0 "Оскільки армія стає джерелом засобів до існування для все більшого числа наших підданих, міста, в яких розміщуються армійські споруди і казарми, починають розширюватися під керівництвом армійських інженерів і ремонтників. У провінції [Root.GetName] зростання міста [Root.GetCapitalName] приносить користь усій провінції."
 army_professionalism_events.15.a:0 "Чудово."
 army_professionalism_events.16.t:0 "Зрада держави [Root.GetDefiniteArticleBeforePluralCountry][Root.GetName]"
 army_professionalism_events.16.d:0 "Рекрутування в разі потреби має бути децентралізовано. Найчастіше цим займаються представники стану [Root.GetNoblesReplacementForOtherGovernments] в столиці, і вони несуть відповідальність за надання встановленого числа чоловіків у контрольованих нами провінціях.\nЦя система в якійсь мірі заснована на довірі, центральна влада не вникає в деталі вербування в сільській місцевості, і єдина форма контролю, яку ми маємо, – це частенько нерегулярні перевірки, які проводить сама армія. Одна така перевірка в провінції [cheating_rolls.GetName] розкопала досить скандальний випадок. Списки з цієї провінції повні вигаданих імен, і ніхто не має найменшого поняття, кого ми насправді можемо закликати з цієї частині країни."
 army_professionalism_events.16.a:0 "Це дуже сумно."
 army_professionalism_events.16.b:0 "Ми повинні покарати злочинця і провести власне розслідування."
 army_professionalism_events.17.t:0 "Розповсюдження мушкету"
 army_professionalism_events.17.d:0 "З поширенням вогнепальної зброї наші старі елітні підрозділи більше не можуть виконувати звичну роль влучних стрільців і бійців переднього краю. Свого часу вони багато зробили для розвитку нашої армії, і тепер вони будуть розподілені по інших полках."
 army_professionalism_events.17.a:0 "Гаразд."
 hanafi_school:0 "Ханафіти"
 hanafi_school_desc:0 "Ханафійський мазгаб названо за іменем арабського богослова та факіха Абу Ханіфа ан-Нуман ібн Сабіт аль-Куфі. Ця школа виникла в Куфі й відома усьому перському і тюркському світові, включаючи північну Індію. Віддаючи перевагу Корану і хадисам, ханафіти дотримуються всеосяжного погляду на джерела, у своїй юриспруденції також спираючись на аналоги (кияси), істисхани та місцеві звичаї (урфи). Деякі вважають цю школу найгнучкішою."
 hanbali_school:1 "Ханбаліти"
 hanbali_school_desc:1 "Ханбалійський мазгаб названо за іменем засновника Ахмада ібн Ханбала, і його послідовники повністю відкидають будь-яке спекулятивне богослов'я - Калам. Ханбаліти стверджують, що Коран і сунни є єдиними належними джерелами юриспруденції й що їх слід тлумачити в буквальному й традиційному сенсі. Незважаючи на статус повноцінного мазгабу, далеко не всі держави активно пропагують школу Ханбалі, а халіфами Аббасидів її було заборонено."
 maliki_school:0 "Малікіти"
 maliki_school_desc:0 "Малікійський мазгаб названо за іменем засновника Маліка ібн Анаса й відомий, зокрема, у Північній Африці та Іберії. Судова практика насамперед базується на працях та тлумаченнях ібн Анаса та його учня Сахнуна, 'аль-Муватта' і 'Мандавана'. Одним з передових центрів навчання в школі Малікі є Велика мечеть Кайруан, недалеко від Тунісу."
 shafii_school:0 "Шафіїти"
 shafii_school_desc:0 "Шафійський мазгаб названо за іменем засновника - імама ібн Ідріса аш-Шафії, і поширений переважно серед мусульман в Аравії, Східній Африці та Східній Азії. Це була офіційна доктрина Сельджуцького, Айюбидського та Мамелюцького султанатів. На відміну від інших мазгабів, шафіїти повністю відкидають істіхсан та істіслах як джерела шаріату, натомість покладаючись лише на тексти Корану та хадисів."
 ismaili_school:0 "Ісмаїліти"
 ismaili_school_desc:0 "Ісмаїлізм названо на честь Ісмаїла ібн Джафара, наступника Джафара аль-Садика, і був домінуючою школою богослов'я у Фатимідському сутланаті, але з падінням останнього його роль у значній мірі ослабла. Ісмаїлізм охоплює відносно розбіжні гілки, такі як мусталити та нізарити, які багато в чому зосереджені на езотеричній складовій шиїзму, більше, ніж джафаріти або зейдіти."
 jafari_school:0 "Джафарити"
 jafari_school_desc:0 "Джафарійський мазгаб названо за іменем шостого імама шиїтів-імамітів Джафара ас-Садика, і його послідовниками є шиїти-двонадесятники. Двонадесятники вважають, що Алі, спадкоємцеві Магомета, мав дванадцять непорочних імамів, обраних за божественною вказівкою. Очікується, що останній з імамів, аль-Магді, повернеться як рятівник людства, і встановить нарешті справедливість і мир у світі."
 zaidi_school:0 "Зейдити"
 zaidi_school_desc:0 "Зейдизм названо на честь Зейда ібн Алі, онука сина Магомета Алі, і слідують його вченню, описаному в Маджму аль-Фикх. Зейдити надають особливого значення справедливості й відповідальності людини та є нащадками тих, хто свого часу підтримав повстання Зейда проти халіфа Омеядів. Зейдизм повністю відкидає релігійний обман, що практикується багатьма шиїтами, і поширений на Єменському нагір'ї."
 hanafi_scholar_modifier:0 "Ханафійські богослови"
 desc_hanafi_scholar_modifier:0 "Ми залучаємо ханафійських богословів до участі в теологічній дискусії в нашій країні."
 hanbali_scholar_modifier:0 "Ханбалійські богослови"
 desc_hanbali_scholar_modifier:0 "Ми залучаємо ханбалійських богословів до участі в теологічній дискусії в нашій країні."
 maliki_scholar_modifier:0 "Малікійські богослови"
 desc_maliki_scholar_modifier:0 "Ми залучаємо малікійських богословів до участі в теологічній дискусії в нашій країні."
 shafii_scholar_modifier:0 "Шафійські богослови"
 desc_shafii_scholar_modifier:0 "Ми залучаємо щафійських богословів до участі в теологічній дискусії в нашій країні."
 ismaili_scholar_modifier:0 "Ісмаїлійські богослови"
 desc_ismaili_scholar_modifier:0 "Ми залучаємо ісмаїлійських богословів до участі в теологічній дискусії в нашій країні."
 jafari_scholar_modifier:0 "Джафарійські богослови"
 desc_jafari_scholar_modifier:0 "Ми залучаємо джафарійських богословів до участі в теологічній дискусії в нашій країні."
 zaidi_scholar_modifier:0 "Зейдитські богослови"
 desc_zaidi_scholar_modifier:0 "Ми залучаємо зейдитських богословів до участі в теологічній дискусії в нашій країні."
 CONFIRMSCHOLAR:0 "Підтвердіть запрошення богослова зі школи, де викладають $SCHOOL$"
 CONFIRMSCHOLAR_TEXT:0 "$EFFECT$"
 RELIGIOUS_SCHOOL_NAME:0 "$NAME$"
 WAITING_FOR_X_MORE_PLAYERS:0 "Очікування гравців: $PLAYERS$"
 RELIGIOUS_SCHOOL_DIPLOMACY_INSTANT:2 "$COUNTRY|Y$ слідує вченню, яке сповідують $NAME|Y$.\nСтосунки з іншими мазгабами:\n$RELATION$"
 SCHOOL_HATE:0 "Ненависть"
 SCHOOL_AMBIVALENT:0 "Байдужість"
 SCHOOL_LIKE:0 "Повага"
 SCHOOL_RELATION_LIST_SCHOOL_ENTRY:0 "$SCHOOL$"
 SCHOOL_RELATION_LIST_SCHOOL_ENTRY_PLAYER:0 "$SCHOOL|Y$"
 SCHOOL_RELATION_LIST_ENTRY:0 "$RELATION$: $SCHOOLS$\n"
 religious_school_relation:0 "Релігійні відносини між мазгабами"
 same_religious_school_relation:0 "Однаковий мазгаб"
 low_army_professionalism:0 "Професіоналізм армії"
 high_army_professionalism:0 "Професіоналізм армії"
 ARMY_PROFESSIONALISM_DESC:1 "Професіоналізм армії показує на що робить ставку ваша держава – на найманців, чи професійну армію. Він підвищується за допомогою муштри, найму генералів, але знижується, коли ви вербуєте найманців."
 ARMY_PROFESSIONALISM_ICON_TIP:1 "$TITLE|Y$\nНаш §YПрофесіоналізм армії§! дорівнює $VAL|Y%0$, що дає такі ефекти:\n$MOD$"
 ARMY_PROFESSIONALISM_TITLE:0 "§YПрофесіоналізм армії§!"
 COMPACT_BATTLE_RESULT_LOSSES:0 "Втрати: $NUMBER$"
 COMPACT_BATTLE_RESULT_LOSSES_TOOLTIP:0 "Піхота: $INFANTRY|Y$\nКіннота: $CAVALRY|Y$\nАртилерія: $ARTILLERY|Y$"
 SET_TRADING_POLICY:0 "Встановити торговельну політику: $NAME|Y$\n"
 CURRENT_TRADING_POLICY:0 "Поточна торговельна політика: $NAME|Y$\n"
 TRADING_POLICY_IN_COOLDOWN:0 "§RВам необхідно почекати до $END|Y$ , щоб встановити нову торговельну політику в цьому вузлі.§!\n"
 TRADING_POLICY_NO_MERCHANT:0 "§RДля того щоб встановити торговельну політику, необхідно спершу розмістити торговця в цьому вузлі.§!\n"
 maximize_profit:0 "Максимізувати прибуток"
 hostile_trading:0 "Агресивна торгівля"
 establish_communities:0 "Встановити зв'язки"
 propagate_religion:0 "Розповсюдження релігії"
 improve_inland_routes:0 "Поліпшення внутрішніх маршрутів"
 maximize_profit_desc:1 "Ваш торговець буде невпинно працювати над максимізацією прибутку в цьому вузлі."
 hostile_trading_desc:1 "Ваш торговець збиратиме відомості про країни, які торгують у цьому вузлі."
 establish_communities_desc:1 "Ваш торговець прагнутиме покращувати відносини з іншими країнами, які торгують у цьому вузлі."
 improve_inland_routes_desc:0 "Ваш торговець збере інформацію про місцевість у цьому вузлі, яка принесе користь вашим арміям."
 propagate_religion_desc:0 "Ваш благочестивий торговець сприятиме над поширенням єдиної справжньої віри в цьому вузлі."
 TRADING_POLICY_EFFECT:0 "$NAME|Y$ Торгова політика:\n$MOD$"
 PROVINCES_IN_NODE:0 "§YУсі провінції в цьому вузлі:§!\n"
 CANCEL_DRILLING_MOVE_CONFIRM_TITLE:0 "Припинити муштру"
 CANCEL_DRILLING_MOVE_CONFIRM_DESC:1 "Ви впевнені, що хочете наказати армії $ARMY|Y$ почати рух і припинити муштру?"
 CANCEL_DRILLING_LOAD_CONFIRM_TITLE:0 "Припинити муштру"
 CANCEL_DRILLING_LOAD_CONFIRM_DESC:1 "Ви впевнені, що хочете відправити армію на кораблі $NAVY|Y$ і припинити муштру?"
 CANCEL_DRILLING_MULTIPLE_CONFIRM_TITLE:0 "Припинити муштру"
 CANCEL_DRILLING_MULTIPLE_CONFIRM_DESC:0 "Ви наказуєте почати рух військам, зайнятим муштрою.\nВи впевнені?"
 COUNTRIES_WITH_MERCHANT_IN_NODE:1 "Вплив на країни, активні в цьому вузлі:\n"
 TRADING_POLICY_MODIFIER:0 "$NAME|Y$ Торгова політика: $VAL$"
 IS_NODE_IN_TRADE_COMPANY_REGION:0 "Вузол знаходиться в регіоні торгової компанії"
 IS_NOT_NODE_IN_TRADE_COMPANY_REGION:0 "Вузол знаходиться в регіоні торгової компанії"
 drilling_armies:0 "Армійські навчання"
 ARMY_DRILL:0 "Вимуштруваність"
 UNIT_DRILL_DESC:0 "Це середній показник рівня вимуштруваності полків. Рівень вимуштруваності підвищується в процесі муштри армій і покращує вміння ваших військ у бою. Він падає з часом, а також, коли полки отримують підкріплення.\n"
 UNIT_DRILL_FAST_DESC:0 "Середня вимуштруваність цієї армії: $CURRENT|Y$ з $MAX|Y$."
 SUBUNIT_AVERAGE_DRILL_EFFECTS:0 "В середньому, це дає нашим не-найманим полкам такі ефекти:\n"
 SUBUNIT_DRILL_FAST_DESC:0 "Вимуштруваність цього полку: $CURRENT|Y$ з $MAX|Y$."
 SUBUNIT_DRILL_DESC:2 "В даний момент цей полк муштрується, підвищуючи свій показник вимуштруваності на $INC|G$ щомісяця:\n"
 SUBUNIT_NO_DRILL_DESC:1 "Вимуштруваність цього полку падає на $DEC|R$ щомісяця.\nВона буде підвищуватися, якщо почати муштру.\n"
 SUBUNIT_DRILL_EFFECTS:0 "Від $DRILL|Y$ вимуштруваності:\n"
 MODIFIER_DRILL_GAIN_MODIFIER:1 "Приріст вимуштруваності"
 NO_DRILL_MERCENARY:1 "Ви не можете муштрувати найманців."
 NO_DRILL_NOT_OWNER:1 "Ви не можете муштрувати свою армію в провінції, якою не володієте."
 NO_DRILL_ATTACHED:0 "Ви не можете муштрувати, будучи прив'язаним до іншої армії."
 NO_DRILL_NOT_CONTROLLER:1 "Ви не можете муштрувати свою армію в провінції, яку не контролюєте."
 NO_DRILL_IN_COMBAT:1 "Ви не можете муштрувати армію під час бою."
 NO_DRILL_NO_LEADER:1 "Ви не можете муштрувати армію без командувача."
 NO_DRILL_NO_EXILED:1 "Ви не можете муштрувати армію під час відступу."
 NO_DRILL_MOVING:1 "Ви не можете муштрувати армію під час руху."
 NO_DRILL_CANT_MOVE:1 "Ви не можете муштрувати армію, яка не може рухатися."
 TRADING_POLICY_MOD:0 "$NAME|Y$ Торгова політика: $VAL$"
 MODIFIER_YEARLY_TRIBAL_ALLEGIANCE:0 "Щорічна Племінна Відданість"
 MODIFIER_SAME_CULTURE_ADVISOR_COST:0 "Вартість радників, що мають культуру правителя"
 MODIFIER_PROMOTE_CULTURE_COST:0 "Вартість просування культури"
 country_development:0 "Загальний розвиток"
 embrace_wahabism_title:0 ""
 embrace_wahabism_desc:0 ""
 talented_qadi:0 "Талановитий каді"
 desc_talented_qadi:0 "Ця провінція знаходиться під управлінням виключно талановитого каді, що гарантує компетентні та ефективні юридичні рішення в інтересах всього регіону."
 bad_loyal_mufti_modifier:0 "Лояльний шейх-уль-іслам"
 desc_bad_loyal_mufti_modifier:0 "Наш нинішній глава релігійної громади, хоч і володіє багатьма талантами, отримав призначення за свою відданість."
 ok_loyal_mufti_modifier:0 "Лояльний шейх-уль-іслам"
